purchase_id,date,supplier,category,items_summary,quantity_kg,total_cost_clp,payment_terms,due_date,status
PO-1040,2023-01-26,Carnes Danke,meat,Meat Variety Pack,46.97,446238,30 dias,2023-02-25,Received
PO-1041,2023-01-26,Agro los hermanos,veg,Veg Variety Pack,106.45,159675,0 dias,2023-01-26,Received
PO-1042,2023-01-26,Puerto de Palos,seafood,Seafood Variety Pack,39.49,473880,15 dias,2023-02-10,Received
PO-1043,2023-01-26,Distribuidora JR,dairy,Dairy Variety Pack,63.42,380550,15 dias,2023-02-10,Received
PO-1044,2023-01-26,ICB Food Service,grocery,Grocery Variety Pack,174.0,348010,30 dias,2023-02-25,Received
PO-1045,2023-01-26,Distribuidora JR,beverage,Beverage Variety Pack,5.35,4280,15 dias,2023-02-10,Received
PO-1046,2023-01-26,Licores Premium,wine,Wine Variety Pack,8.74,34950,30 dias,2023-02-25,Received
PO-1047,2023-01-30,Carnes Danke,meat,Meat Variety Pack,13.21,125495,30 dias,2023-03-01,Received
PO-1048,2023-01-30,Agro los hermanos,veg,Veg Variety Pack,18.27,27412,0 dias,2023-01-30,Received
PO-1049,2023-01-30,Puerto de Palos,seafood,Seafood Variety Pack,3.57,42810,15 dias,2023-02-14,Received
PO-1050,2023-01-30,Distribuidora JR,dairy,Dairy Variety Pack,11.22,67350,15 dias,2023-02-14,Received
PO-1051,2023-01-30,ICB Food Service,grocery,Grocery Variety Pack,33.56,67120,30 dias,2023-03-01,Received
PO-1052,2023-01-30,Distribuidora JR,beverage,Beverage Variety Pack,1.45,1160,15 dias,2023-02-14,Received
PO-1053,2023-01-30,Licores Premium,wine,Wine Variety Pack,1.73,6900,30 dias,2023-03-01,Received
PO-1054,2023-02-02,Carnes Danke,meat,Meat Variety Pack,40.77,387315,30 dias,2023-03-04,Received
PO-1055,2023-02-02,Agro los hermanos,veg,Veg Variety Pack,96.17,144262,0 dias,2023-02-02,Received
PO-1056,2023-02-02,Puerto de Palos,seafood,Seafood Variety Pack,33.6,403230,15 dias,2023-02-17,Received
PO-1057,2023-02-02,Distribuidora JR,dairy,Dairy Variety Pack,52.42,314550,15 dias,2023-02-17,Received
PO-1058,2023-02-02,ICB Food Service,grocery,Grocery Variety Pack,149.59,299190,30 dias,2023-03-04,Received
PO-1059,2023-02-02,Distribuidora JR,beverage,Beverage Variety Pack,4.22,3379,15 dias,2023-02-17,Received
PO-1060,2023-02-02,Licores Premium,wine,Wine Variety Pack,9.21,36850,30 dias,2023-03-04,Received
PO-1061,2023-02-06,Carnes Danke,meat,Meat Variety Pack,12.76,121220,30 dias,2023-03-08,Received
PO-1062,2023-02-06,Agro los hermanos,veg,Veg Variety Pack,30.48,45712,0 dias,2023-02-06,Received
PO-1063,2023-02-06,Puerto de Palos,seafood,Seafood Variety Pack,15.61,187320,15 dias,2023-02-21,Received
PO-1064,2023-02-06,Distribuidora JR,dairy,Dairy Variety Pack,35.38,212250,15 dias,2023-02-21,Received
PO-1065,2023-02-06,ICB Food Service,grocery,Grocery Variety Pack,71.28,142560,30 dias,2023-03-08,Received
PO-1066,2023-02-06,Distribuidora JR,beverage,Beverage Variety Pack,1.55,1240,15 dias,2023-02-21,Received
PO-1067,2023-02-06,Licores Premium,wine,Wine Variety Pack,2.83,11300,30 dias,2023-03-08,Received
PO-1068,2023-02-09,Carnes Danke,meat,Meat Variety Pack,40.29,382778,30 dias,2023-03-11,Received
PO-1069,2023-02-09,Agro los hermanos,veg,Veg Variety Pack,80.1,120149,0 dias,2023-02-09,Received
PO-1070,2023-02-09,Puerto de Palos,seafood,Seafood Variety Pack,28.15,337800,15 dias,2023-02-24,Received
PO-1071,2023-02-09,Distribuidora JR,dairy,Dairy Variety Pack,59.88,359250,15 dias,2023-02-24,Received
PO-1072,2023-02-09,ICB Food Service,grocery,Grocery Variety Pack,142.06,284120,30 dias,2023-03-11,Received
PO-1073,2023-02-09,Distribuidora JR,beverage,Beverage Variety Pack,4.38,3500,15 dias,2023-02-24,Received
PO-1074,2023-02-09,Licores Premium,wine,Wine Variety Pack,5.1,20400,30 dias,2023-03-11,Received
PO-1075,2023-02-13,Carnes Danke,meat,Meat Variety Pack,24.8,235647,30 dias,2023-03-15,Received
PO-1076,2023-02-13,Agro los hermanos,veg,Veg Variety Pack,38.05,57074,0 dias,2023-02-13,Received
PO-1077,2023-02-13,Puerto de Palos,seafood,Seafood Variety Pack,8.85,106140,15 dias,2023-02-28,Received
PO-1078,2023-02-13,Distribuidora JR,dairy,Dairy Variety Pack,35.52,213150,15 dias,2023-02-28,Received
PO-1079,2023-02-13,ICB Food Service,grocery,Grocery Variety Pack,91.62,183250,30 dias,2023-03-15,Received
PO-1080,2023-02-13,Distribuidora JR,beverage,Beverage Variety Pack,1.77,1420,15 dias,2023-02-28,Received
PO-1081,2023-02-13,Licores Premium,wine,Wine Variety Pack,0.85,3400,30 dias,2023-03-15,Received
PO-1082,2023-02-16,Carnes Danke,meat,Meat Variety Pack,50.33,478111,30 dias,2023-03-18,Received
PO-1083,2023-02-16,Agro los hermanos,veg,Veg Variety Pack,103.15,154725,0 dias,2023-02-16,Received
PO-1084,2023-02-16,Puerto de Palos,seafood,Seafood Variety Pack,24.02,288270,15 dias,2023-03-03,Received
PO-1085,2023-02-16,Distribuidora JR,dairy,Dairy Variety Pack,76.88,461250,15 dias,2023-03-03,Received
PO-1086,2023-02-16,ICB Food Service,grocery,Grocery Variety Pack,180.66,361320,30 dias,2023-03-18,Received
PO-1087,2023-02-16,Distribuidora JR,beverage,Beverage Variety Pack,5.08,4060,15 dias,2023-03-03,Received
PO-1088,2023-02-16,Licores Premium,wine,Wine Variety Pack,10.53,42100,30 dias,2023-03-18,Received
PO-1089,2023-02-20,Carnes Danke,meat,Meat Variety Pack,10.51,99845,30 dias,2023-03-22,Received
PO-1090,2023-02-20,Agro los hermanos,veg,Veg Variety Pack,20.88,31312,0 dias,2023-02-20,Received
PO-1091,2023-02-20,Puerto de Palos,seafood,Seafood Variety Pack,9.3,111660,15 dias,2023-03-07,Received
PO-1092,2023-02-20,Distribuidora JR,dairy,Dairy Variety Pack,6.28,37650,15 dias,2023-03-07,Received
PO-1093,2023-02-20,ICB Food Service,grocery,Grocery Variety Pack,32.8,65600,30 dias,2023-03-22,Received
PO-1094,2023-02-20,Distribuidora JR,beverage,Beverage Variety Pack,0.88,700,15 dias,2023-03-07,Received
PO-1095,2023-02-20,Licores Premium,wine,Wine Variety Pack,1.75,7000,30 dias,2023-03-22,Received
PO-1096,2023-02-23,Carnes Danke,meat,Meat Variety Pack,40.02,380142,30 dias,2023-03-25,Received
PO-1097,2023-02-23,Agro los hermanos,veg,Veg Variety Pack,93.75,140625,0 dias,2023-02-23,Received
PO-1098,2023-02-23,Puerto de Palos,seafood,Seafood Variety Pack,36.14,433710,15 dias,2023-03-10,Received
PO-1099,2023-02-23,Distribuidora JR,dairy,Dairy Variety Pack,64.28,385650,15 dias,2023-03-10,Received
PO-1100,2023-02-23,ICB Food Service,grocery,Grocery Variety Pack,168.37,336740,30 dias,2023-03-25,Received
PO-1101,2023-02-23,Distribuidora JR,beverage,Beverage Variety Pack,5.22,4180,15 dias,2023-03-10,Received
PO-1102,2023-02-23,Licores Premium,wine,Wine Variety Pack,5.28,21100,30 dias,2023-03-25,Received
PO-1103,2023-02-27,Carnes Danke,meat,Meat Variety Pack,14.13,134258,30 dias,2023-03-29,Received
PO-1104,2023-02-27,Agro los hermanos,veg,Veg Variety Pack,39.12,58687,0 dias,2023-02-27,Received
PO-1105,2023-02-27,Puerto de Palos,seafood,Seafood Variety Pack,14.21,170490,15 dias,2023-03-14,Received
PO-1106,2023-02-27,Distribuidora JR,dairy,Dairy Variety Pack,27.07,162450,15 dias,2023-03-14,Received
PO-1107,2023-02-27,ICB Food Service,grocery,Grocery Variety Pack,68.02,136040,30 dias,2023-03-29,Received
PO-1108,2023-02-27,Distribuidora JR,beverage,Beverage Variety Pack,2.62,2100,15 dias,2023-03-14,Received
PO-1109,2023-02-27,Licores Premium,wine,Wine Variety Pack,4.04,16149,30 dias,2023-03-29,Received
PO-1110,2023-03-02,Carnes Danke,meat,Meat Variety Pack,32.5,308726,30 dias,2023-04-01,Received
PO-1111,2023-03-02,Agro los hermanos,veg,Veg Variety Pack,68.7,103050,0 dias,2023-03-02,Received
PO-1112,2023-03-02,Puerto de Palos,seafood,Seafood Variety Pack,23.77,285240,15 dias,2023-03-17,Received
PO-1113,2023-03-02,Distribuidora JR,dairy,Dairy Variety Pack,40.2,241200,15 dias,2023-03-17,Received
PO-1114,2023-03-02,ICB Food Service,grocery,Grocery Variety Pack,132.82,265640,30 dias,2023-04-01,Received
PO-1115,2023-03-02,Distribuidora JR,beverage,Beverage Variety Pack,4.12,3300,15 dias,2023-03-17,Received
PO-1116,2023-03-02,Licores Premium,wine,Wine Variety Pack,4.26,17050,30 dias,2023-04-01,Received
PO-1117,2023-03-06,Carnes Danke,meat,Meat Variety Pack,19.57,185891,30 dias,2023-04-05,Received
PO-1118,2023-03-06,Agro los hermanos,veg,Veg Variety Pack,35.12,52687,0 dias,2023-03-06,Received
PO-1119,2023-03-06,Puerto de Palos,seafood,Seafood Variety Pack,15.44,185280,15 dias,2023-03-21,Received
PO-1120,2023-03-06,Distribuidora JR,dairy,Dairy Variety Pack,24.2,145200,15 dias,2023-03-21,Received
PO-1121,2023-03-06,ICB Food Service,grocery,Grocery Variety Pack,63.3,126600,30 dias,2023-04-05,Received
PO-1122,2023-03-06,Distribuidora JR,beverage,Beverage Variety Pack,2.27,1820,15 dias,2023-03-21,Received
PO-1123,2023-03-06,Licores Premium,wine,Wine Variety Pack,1.75,7000,30 dias,2023-04-05,Received
PO-1124,2023-03-09,Carnes Danke,meat,Meat Variety Pack,49.39,469205,30 dias,2023-04-08,Received
PO-1125,2023-03-09,Agro los hermanos,veg,Veg Variety Pack,103.25,154875,0 dias,2023-03-09,Received
PO-1126,2023-03-09,Puerto de Palos,seafood,Seafood Variety Pack,30.64,367620,15 dias,2023-03-24,Received
PO-1127,2023-03-09,Distribuidora JR,dairy,Dairy Variety Pack,64.35,386099,15 dias,2023-03-24,Received
PO-1128,2023-03-09,ICB Food Service,grocery,Grocery Variety Pack,151.14,302280,30 dias,2023-04-08,Received
PO-1129,2023-03-09,Distribuidora JR,beverage,Beverage Variety Pack,5.1,4079,15 dias,2023-03-24,Received
PO-1130,2023-03-09,Licores Premium,wine,Wine Variety Pack,5.56,22250,30 dias,2023-04-08,Received
PO-1131,2023-03-13,Carnes Danke,meat,Meat Variety Pack,21.94,208453,30 dias,2023-04-12,Received
PO-1132,2023-03-13,Agro los hermanos,veg,Veg Variety Pack,36.8,55199,0 dias,2023-03-13,Received
PO-1133,2023-03-13,Puerto de Palos,seafood,Seafood Variety Pack,9.57,114810,15 dias,2023-03-28,Received
PO-1134,2023-03-13,Distribuidora JR,dairy,Dairy Variety Pack,30.4,182400,15 dias,2023-03-28,Received
PO-1135,2023-03-13,ICB Food Service,grocery,Grocery Variety Pack,83.61,167220,30 dias,2023-04-12,Received
PO-1136,2023-03-13,Distribuidora JR,beverage,Beverage Variety Pack,3.23,2580,15 dias,2023-03-28,Received
PO-1137,2023-03-13,Licores Premium,wine,Wine Variety Pack,1.27,5100,30 dias,2023-04-12,Received
PO-1138,2023-03-16,Carnes Danke,meat,Meat Variety Pack,38.56,366296,30 dias,2023-04-15,Received
PO-1139,2023-03-16,Agro los hermanos,veg,Veg Variety Pack,99.85,149775,0 dias,2023-03-16,Received
PO-1140,2023-03-16,Puerto de Palos,seafood,Seafood Variety Pack,38.14,457710,15 dias,2023-03-31,Received
PO-1141,2023-03-16,Distribuidora JR,dairy,Dairy Variety Pack,55.45,332700,15 dias,2023-03-31,Received
PO-1142,2023-03-16,ICB Food Service,grocery,Grocery Variety Pack,139.91,279810,30 dias,2023-04-15,Received
PO-1143,2023-03-16,Distribuidora JR,beverage,Beverage Variety Pack,2.62,2100,15 dias,2023-03-31,Received
PO-1144,2023-03-16,Licores Premium,wine,Wine Variety Pack,8.06,32250,30 dias,2023-04-15,Received
PO-1145,2023-03-20,Carnes Danke,meat,Meat Variety Pack,12.63,120032,30 dias,2023-04-19,Received
PO-1146,2023-03-20,Agro los hermanos,veg,Veg Variety Pack,18.4,27599,0 dias,2023-03-20,Received
PO-1147,2023-03-20,Puerto de Palos,seafood,Seafood Variety Pack,4.32,51870,15 dias,2023-04-04,Received
PO-1148,2023-03-20,Distribuidora JR,dairy,Dairy Variety Pack,17.38,104250,15 dias,2023-04-04,Received
PO-1149,2023-03-20,ICB Food Service,grocery,Grocery Variety Pack,50.79,101580,30 dias,2023-04-19,Received
PO-1150,2023-03-20,Distribuidora JR,beverage,Beverage Variety Pack,1.68,1340,15 dias,2023-04-04,Received
PO-1151,2023-03-20,Licores Premium,wine,Wine Variety Pack,1.23,4900,30 dias,2023-04-19,Received
PO-1152,2023-03-23,Carnes Danke,meat,Meat Variety Pack,44.74,425053,30 dias,2023-04-22,Received
PO-1153,2023-03-23,Agro los hermanos,veg,Veg Variety Pack,95.1,142650,0 dias,2023-03-23,Received
PO-1154,2023-03-23,Puerto de Palos,seafood,Seafood Variety Pack,37.39,448680,15 dias,2023-04-07,Received
PO-1155,2023-03-23,Distribuidora JR,dairy,Dairy Variety Pack,49.83,298950,15 dias,2023-04-07,Received
PO-1156,2023-03-23,ICB Food Service,grocery,Grocery Variety Pack,143.58,287160,30 dias,2023-04-22,Received
PO-1157,2023-03-23,Distribuidora JR,beverage,Beverage Variety Pack,5.03,4020,15 dias,2023-04-07,Received
PO-1158,2023-03-23,Licores Premium,wine,Wine Variety Pack,7.41,29650,30 dias,2023-04-22,Received
PO-1159,2023-03-27,Carnes Danke,meat,Meat Variety Pack,14.47,137488,30 dias,2023-04-26,Received
PO-1160,2023-03-27,Agro los hermanos,veg,Veg Variety Pack,42.48,63712,0 dias,2023-03-27,Received
PO-1161,2023-03-27,Puerto de Palos,seafood,Seafood Variety Pack,13.4,160860,15 dias,2023-04-11,Received
PO-1162,2023-03-27,Distribuidora JR,dairy,Dairy Variety Pack,14.32,85950,15 dias,2023-04-11,Received
PO-1163,2023-03-27,ICB Food Service,grocery,Grocery Variety Pack,45.74,91490,30 dias,2023-04-26,Received
PO-1164,2023-03-27,Distribuidora JR,beverage,Beverage Variety Pack,1.65,1320,15 dias,2023-04-11,Received
PO-1165,2023-03-27,Licores Premium,wine,Wine Variety Pack,3.65,14600,30 dias,2023-04-26,Received
PO-1166,2023-03-30,Carnes Danke,meat,Meat Variety Pack,45.51,432297,30 dias,2023-04-29,Received
PO-1167,2023-03-30,Agro los hermanos,veg,Veg Variety Pack,90.88,136312,0 dias,2023-03-30,Received
PO-1168,2023-03-30,Puerto de Palos,seafood,Seafood Variety Pack,21.62,259469,15 dias,2023-04-14,Received
PO-1169,2023-03-30,Distribuidora JR,dairy,Dairy Variety Pack,57.15,342900,15 dias,2023-04-14,Received
PO-1170,2023-03-30,ICB Food Service,grocery,Grocery Variety Pack,156.14,312280,30 dias,2023-04-29,Received
PO-1171,2023-03-30,Distribuidora JR,beverage,Beverage Variety Pack,3.7,2960,15 dias,2023-04-14,Received
PO-1172,2023-03-30,Licores Premium,wine,Wine Variety Pack,4.7,18800,30 dias,2023-04-29,Received
PO-1173,2023-04-03,Carnes Danke,meat,Meat Variety Pack,5.79,55005,30 dias,2023-05-03,Received
PO-1174,2023-04-03,Agro los hermanos,veg,Veg Variety Pack,13.8,20700,0 dias,2023-04-03,Received
PO-1175,2023-04-03,Puerto de Palos,seafood,Seafood Variety Pack,9.43,113189,15 dias,2023-04-18,Received
PO-1176,2023-04-03,Distribuidora JR,dairy,Dairy Variety Pack,7.67,46050,15 dias,2023-04-18,Received
PO-1177,2023-04-03,ICB Food Service,grocery,Grocery Variety Pack,26.96,53920,30 dias,2023-05-03,Received
PO-1178,2023-04-03,Distribuidora JR,beverage,Beverage Variety Pack,0.9,720,15 dias,2023-04-18,Received
PO-1179,2023-04-03,Licores Premium,wine,Wine Variety Pack,1.29,5150,30 dias,2023-05-03,Received
PO-1180,2023-04-06,Carnes Danke,meat,Meat Variety Pack,44.56,423367,30 dias,2023-05-06,Received
PO-1181,2023-04-06,Agro los hermanos,veg,Veg Variety Pack,100.6,150900,0 dias,2023-04-06,Received
PO-1182,2023-04-06,Puerto de Palos,seafood,Seafood Variety Pack,35.25,423030,15 dias,2023-04-21,Received
PO-1183,2023-04-06,Distribuidora JR,dairy,Dairy Variety Pack,48.48,290850,15 dias,2023-04-21,Received
PO-1184,2023-04-06,ICB Food Service,grocery,Grocery Variety Pack,141.99,283980,30 dias,2023-05-06,Received
PO-1185,2023-04-06,Distribuidora JR,beverage,Beverage Variety Pack,6.65,5320,15 dias,2023-04-21,Received
PO-1186,2023-04-06,Licores Premium,wine,Wine Variety Pack,5.95,23800,30 dias,2023-05-06,Received
PO-1187,2023-04-10,Carnes Danke,meat,Meat Variety Pack,7.48,71036,30 dias,2023-05-10,Received
PO-1188,2023-04-10,Agro los hermanos,veg,Veg Variety Pack,33.25,49875,0 dias,2023-04-10,Received
PO-1189,2023-04-10,Puerto de Palos,seafood,Seafood Variety Pack,15.12,181380,15 dias,2023-04-25,Received
PO-1190,2023-04-10,Distribuidora JR,dairy,Dairy Variety Pack,36.25,217500,15 dias,2023-04-25,Received
PO-1191,2023-04-10,ICB Food Service,grocery,Grocery Variety Pack,93.25,186500,30 dias,2023-05-10,Received
PO-1192,2023-04-10,Distribuidora JR,beverage,Beverage Variety Pack,0.97,780,15 dias,2023-04-25,Received
PO-1193,2023-04-10,Licores Premium,wine,Wine Variety Pack,3.21,12850,30 dias,2023-05-10,Received
PO-1194,2023-04-13,Carnes Danke,meat,Meat Variety Pack,44.22,420090,30 dias,2023-05-13,Received
PO-1195,2023-04-13,Agro los hermanos,veg,Veg Variety Pack,84.42,126637,0 dias,2023-04-13,Received
PO-1196,2023-04-13,Puerto de Palos,seafood,Seafood Variety Pack,26.62,319500,15 dias,2023-04-28,Received
PO-1197,2023-04-13,Distribuidora JR,dairy,Dairy Variety Pack,42.52,255150,15 dias,2023-04-28,Received
PO-1198,2023-04-13,ICB Food Service,grocery,Grocery Variety Pack,130.03,260060,30 dias,2023-05-13,Received
PO-1199,2023-04-13,Distribuidora JR,beverage,Beverage Variety Pack,5.65,4520,15 dias,2023-04-28,Received
PO-1200,2023-04-13,Licores Premium,wine,Wine Variety Pack,3.48,13900,30 dias,2023-05-13,Received
PO-1201,2023-04-17,Carnes Danke,meat,Meat Variety Pack,7.66,72793,30 dias,2023-05-17,Received
PO-1202,2023-04-17,Agro los hermanos,veg,Veg Variety Pack,16.05,24075,0 dias,2023-04-17,Received
PO-1203,2023-04-17,Puerto de Palos,seafood,Seafood Variety Pack,4.33,51929,15 dias,2023-05-02,Received
PO-1204,2023-04-17,Distribuidora JR,dairy,Dairy Variety Pack,23.25,139500,15 dias,2023-05-02,Received
PO-1205,2023-04-17,ICB Food Service,grocery,Grocery Variety Pack,49.95,99910,30 dias,2023-05-17,Received
PO-1206,2023-04-17,Distribuidora JR,beverage,Beverage Variety Pack,1.02,819,15 dias,2023-05-02,Received
PO-1207,2023-04-17,Licores Premium,wine,Wine Variety Pack,0.81,3250,30 dias,2023-05-17,Received
PO-1208,2023-04-20,Carnes Danke,meat,Meat Variety Pack,41.95,398525,30 dias,2023-05-20,Received
PO-1209,2023-04-20,Agro los hermanos,veg,Veg Variety Pack,95.35,143025,0 dias,2023-04-20,Received
PO-1210,2023-04-20,Puerto de Palos,seafood,Seafood Variety Pack,32.0,384000,15 dias,2023-05-05,Received
PO-1211,2023-04-20,Distribuidora JR,dairy,Dairy Variety Pack,67.15,402900,15 dias,2023-05-05,Received
PO-1212,2023-04-20,ICB Food Service,grocery,Grocery Variety Pack,168.94,337880,30 dias,2023-05-20,Received
PO-1213,2023-04-20,Distribuidora JR,beverage,Beverage Variety Pack,5.05,4040,15 dias,2023-05-05,Received
PO-1214,2023-04-20,Licores Premium,wine,Wine Variety Pack,10.72,42900,30 dias,2023-05-20,Received
PO-1215,2023-04-24,Carnes Danke,meat,Meat Variety Pack,7.25,68851,30 dias,2023-05-24,Received
PO-1216,2023-04-24,Agro los hermanos,veg,Veg Variety Pack,23.02,34537,0 dias,2023-04-24,Received
PO-1217,2023-04-24,Puerto de Palos,seafood,Seafood Variety Pack,8.31,99780,15 dias,2023-05-09,Received
PO-1218,2023-04-24,Distribuidora JR,dairy,Dairy Variety Pack,13.6,81600,15 dias,2023-05-09,Received
PO-1219,2023-04-24,ICB Food Service,grocery,Grocery Variety Pack,42.88,85750,30 dias,2023-05-24,Received
PO-1220,2023-04-24,Distribuidora JR,beverage,Beverage Variety Pack,1.02,819,15 dias,2023-05-09,Received
PO-1221,2023-04-24,Licores Premium,wine,Wine Variety Pack,1.35,5400,30 dias,2023-05-24,Received
PO-1222,2023-04-27,Carnes Danke,meat,Meat Variety Pack,33.98,322857,30 dias,2023-05-27,Received
PO-1223,2023-04-27,Agro los hermanos,veg,Veg Variety Pack,74.92,112387,0 dias,2023-04-27,Received
PO-1224,2023-04-27,Puerto de Palos,seafood,Seafood Variety Pack,27.11,325320,15 dias,2023-05-12,Received
PO-1225,2023-04-27,Distribuidora JR,dairy,Dairy Variety Pack,45.08,270450,15 dias,2023-05-12,Received
PO-1226,2023-04-27,ICB Food Service,grocery,Grocery Variety Pack,151.92,303840,30 dias,2023-05-27,Received
PO-1227,2023-04-27,Distribuidora JR,beverage,Beverage Variety Pack,4.95,3960,15 dias,2023-05-12,Received
PO-1228,2023-04-27,Licores Premium,wine,Wine Variety Pack,4.91,19650,30 dias,2023-05-27,Received
PO-1229,2023-05-01,Carnes Danke,meat,Meat Variety Pack,16.26,154493,30 dias,2023-05-31,Received
PO-1230,2023-05-01,Agro los hermanos,veg,Veg Variety Pack,37.65,56475,0 dias,2023-05-01,Received
PO-1231,2023-05-01,Puerto de Palos,seafood,Seafood Variety Pack,14.82,177870,15 dias,2023-05-16,Received
PO-1232,2023-05-01,Distribuidora JR,dairy,Dairy Variety Pack,19.23,115350,15 dias,2023-05-16,Received
PO-1233,2023-05-01,ICB Food Service,grocery,Grocery Variety Pack,59.05,118090,30 dias,2023-05-31,Received
PO-1234,2023-05-01,Distribuidora JR,beverage,Beverage Variety Pack,2.3,1839,15 dias,2023-05-16,Received
PO-1235,2023-05-01,Licores Premium,wine,Wine Variety Pack,2.5,10000,30 dias,2023-05-31,Received
PO-1236,2023-05-04,Carnes Danke,meat,Meat Variety Pack,47.24,448827,30 dias,2023-06-03,Received
PO-1237,2023-05-04,Agro los hermanos,veg,Veg Variety Pack,95.12,142687,0 dias,2023-05-04,Received
PO-1238,2023-05-04,Puerto de Palos,seafood,Seafood Variety Pack,29.93,359160,15 dias,2023-05-19,Received
PO-1239,2023-05-04,Distribuidora JR,dairy,Dairy Variety Pack,52.38,314250,15 dias,2023-05-19,Received
PO-1240,2023-05-04,ICB Food Service,grocery,Grocery Variety Pack,135.82,271650,30 dias,2023-06-03,Received
