date,item_name,merma_qty,reason,value_lost_clp,preventable
2023-01-07,Pepperoni,1,damage,3800,yes
2023-01-07,Clásica,2,customer_return,8400,no
2023-01-07,Duo del Mar,1,expired,7200,no
2023-01-07,Jugo de Pulpa,2,overprep,1600,yes
2023-01-07,Filete Trifolatti,1,quality_issue,9800,yes
2023-01-07,Valenciano,1,overprep,6200,yes
2023-01-07,Rocca Avocado,2,expired,17000,no
2023-01-07,Cuatro Formaggi,2,expired,9600,no
2023-01-08,Valenciano,2,overprep,12400,yes
2023-01-08,Copa de Vino CS,1,overprep,1400,yes
2023-01-08,Mechada Avocado,3,customer_return,14400,no
2023-01-08,Pepperoni,2,overprep,7600,yes
2023-01-09,Rocca Avocado,1,overprep,8500,yes
2023-01-09,Clásica,1,overprep,4200,yes
2023-01-09,Volcán de Chocolate,1,expired,2100,no
2023-01-09,Jugo de Pulpa,1,expired,800,no
2023-01-09,Copa de Vino CS,1,overprep,1400,yes
2023-01-09,Camarón a la Vista,1,expired,5800,no
2023-01-09,Cuatro Formaggi,1,expired,4800,no
2023-01-09,Mechada Avocado,1,expired,4800,no
2023-01-09,Mechada Avocado,1,quality_issue,4800,yes
2023-01-10,Cuatro Formaggi,1,overprep,4800,yes
2023-01-10,Filete Trifolatti,1,expired,9800,no
2023-01-10,Tartar de Jaiba con Locos,1,expired,8900,no
2023-01-11,Margarita,2,overprep,6400,yes
2023-01-11,Volcán de Chocolate,2,overprep,4200,yes
2023-01-11,Tabla Estación,1,quality_issue,14500,yes
2023-01-11,Locos en su Emulsión,1,overprep,11500,yes
2023-01-12,Filete Trifolatti,1,expired,9800,no
2023-01-12,Margarita,2,expired,6400,no
2023-01-12,Mechada Avocado,1,overprep,4800,yes
2023-01-12,Camarón a la Vista,1,expired,5800,no
2023-01-12,Clásica,1,overprep,4200,yes
2023-01-13,Valenciano,2,overprep,12400,yes
2023-01-13,Rocca Avocado,1,overprep,8500,yes
2023-01-13,Cuatro Formaggi,2,overprep,9600,yes
2023-01-13,Cuatro Formaggi,1,damage,4800,yes
2023-01-13,Pepperoni,1,overprep,3800,yes
2023-01-13,Tabla Estación,1,expired,14500,no
2023-01-14,Margarita,1,overprep,3200,yes
2023-01-14,Margarita,2,expired,6400,no
2023-01-14,Camarón a la Vista,1,expired,5800,no
2023-01-14,Salmón Tando,2,expired,14400,no
2023-01-14,Camarón a la Vista,1,overprep,5800,yes
2023-01-14,Cuatro Formaggi,1,overprep,4800,yes
2023-01-14,Clásica,1,overprep,4200,yes
2023-01-15,Pepperoni,2,expired,7600,no
2023-01-15,Locos en su Emulsión,1,overprep,11500,yes
2023-01-15,Volcán de Chocolate,1,expired,2100,no
2023-01-15,Jugo de Pulpa,1,expired,800,no
2023-01-15,Valenciano,1,expired,6200,no
2023-01-16,Tartar de Jaiba con Locos,1,overprep,8900,yes
2023-01-16,Duo del Mar,1,expired,7200,no
2023-01-17,Mechada Avocado,1,overprep,4800,yes
2023-01-17,Cuatro Formaggi,1,overprep,4800,yes
2023-01-17,Clásica,3,expired,12600,no
2023-01-17,Camarón a la Vista,2,expired,11600,no
2023-01-17,Mechada Avocado,2,expired,9600,no
2023-01-18,Mechada Avocado,2,overprep,9600,yes
2023-01-18,Jugo de Pulpa,1,overprep,800,yes
2023-01-18,Pepperoni,2,overprep,7600,yes
2023-01-18,Rocca Avocado,1,expired,8500,no
2023-01-18,Tabla Estación,1,overprep,14500,yes
2023-01-18,Tabla Estación,1,damage,14500,yes
2023-01-19,Margarita,1,expired,3200,no
2023-01-19,Margarita,1,overprep,3200,yes
2023-01-19,Duo del Mar,2,expired,14400,no
2023-01-19,Cuatro Formaggi,1,expired,4800,no
2023-01-19,Jugo de Pulpa,1,expired,800,no
2023-01-19,Clásica,2,expired,8400,no
2023-01-20,Mechada Avocado,2,overprep,9600,yes
2023-01-20,Pepperoni,1,overprep,3800,yes
2023-01-20,Copa de Vino CS,1,expired,1400,no
2023-01-21,Mechada Avocado,1,overprep,4800,yes
2023-01-21,Clásica,1,overprep,4200,yes
2023-01-21,Clásica,2,expired,8400,no
2023-01-21,Pepperoni,1,overprep,3800,yes
2023-01-21,Tabla Estación,1,quality_issue,14500,yes
2023-01-21,Cuatro Formaggi,1,damage,4800,yes
2023-01-21,Mechada Avocado,1,expired,4800,no
2023-01-21,Cuatro Formaggi,2,damage,9600,yes
2023-01-21,Pepperoni,1,overprep,3800,yes
2023-01-21,Cuatro Formaggi,1,expired,4800,no
2023-01-21,Margarita,1,quality_issue,3200,yes
2023-01-21,Arancini,1,overprep,3800,yes
2023-01-22,Tabla Estación,1,overprep,14500,yes
2023-01-22,Pepperoni,1,overprep,3800,yes
2023-01-22,Clásica,1,quality_issue,4200,yes
2023-01-22,Jugo de Pulpa,1,expired,800,no
2023-01-22,Margarita,1,overprep,3200,yes
2023-01-23,Cuatro Formaggi,1,overprep,4800,yes
2023-01-23,Clásica,1,quality_issue,4200,yes
2023-01-23,Arancini,2,damage,7600,yes
2023-01-23,Jugo de Pulpa,2,expired,1600,no
2023-01-24,Clásica,1,expired,4200,no
2023-01-24,Filete Trifolatti,1,expired,9800,no
2023-01-25,Margarita,1,expired,3200,no
2023-01-25,Clásica,1,quality_issue,4200,yes
2023-01-25,Camarón a la Vista,1,overprep,5800,yes
2023-01-25,Copa de Vino CS,1,overprep,1400,yes
2023-01-25,Mechada Avocado,1,overprep,4800,yes
2023-01-25,Clásica,1,overprep,4200,yes
2023-01-26,Camarón a la Vista,1,expired,5800,no
2023-01-27,Mechada Avocado,1,expired,4800,no
2023-01-27,Jugo de Pulpa,1,expired,800,no
2023-01-27,Tabla Estación,1,damage,14500,yes
2023-01-27,Copa de Vino CS,2,expired,2800,no
2023-01-27,Pavlova (Papaya),1,quality_issue,2000,yes
2023-01-27,Clásica,1,quality_issue,4200,yes
2023-01-28,Camarón a la Vista,1,expired,5800,no
2023-01-28,Tartar de Jaiba con Locos,1,expired,8900,no
2023-01-28,Pavlova (Papaya),1,expired,2000,no
2023-01-28,Rocca Avocado,2,overprep,17000,yes
2023-01-28,Tabla Estación,2,damage,29000,yes
2023-01-28,Jugo de Pulpa,2,damage,1600,yes
2023-01-28,Volcán de Chocolate,2,expired,4200,no
2023-01-28,Filete Trifolatti,1,customer_return,9800,no
2023-01-28,Salmón Tando,1,overprep,7200,yes
2023-01-28,Volcán de Chocolate,2,overprep,4200,yes
2023-01-29,Clásica,1,overprep,4200,yes
2023-01-30,Duo del Mar,1,expired,7200,no
2023-01-30,Volcán de Chocolate,1,expired,2100,no
2023-01-30,Arancini,3,overprep,11400,yes
2023-01-30,Pavlova (Papaya),1,overprep,2000,yes
2023-01-31,Locos en su Emulsión,2,overprep,23000,yes
2023-01-31,Cuatro Formaggi,1,overprep,4800,yes
2023-01-31,Arancini,1,overprep,3800,yes
2023-02-01,Clásica,1,expired,4200,no
2023-02-01,Filete Trifolatti,1,expired,9800,no
2023-02-01,Pepperoni,1,expired,3800,no
2023-02-01,Pepperoni,2,overprep,7600,yes
2023-02-01,Jugo de Pulpa,1,overprep,800,yes
2023-02-02,Arancini,1,expired,3800,no
2023-02-02,Cuatro Formaggi,1,expired,4800,no
2023-02-03,Cuatro Formaggi,3,overprep,14400,yes
2023-02-03,Margarita,1,quality_issue,3200,yes
2023-02-03,Margarita,2,expired,6400,no
2023-02-03,Locos en su Emulsión,1,overprep,11500,yes
2023-02-03,Pepperoni,1,damage,3800,yes
2023-02-03,Jugo de Pulpa,1,overprep,800,yes
2023-02-04,Volcán de Chocolate,1,overprep,2100,yes
2023-02-04,Salmón Tando,1,expired,7200,no
2023-02-04,Cuatro Formaggi,1,overprep,4800,yes
2023-02-04,Clásica,1,expired,4200,no
2023-02-04,Tartar de Jaiba con Locos,1,quality_issue,8900,yes
2023-02-04,Cuatro Formaggi,3,overprep,14400,yes
2023-02-04,Copa de Vino CS,1,expired,1400,no
2023-02-05,Cuatro Formaggi,1,overprep,4800,yes
2023-02-05,Copa de Vino CS,1,overprep,1400,yes
2023-02-05,Tabla Estación,2,expired,29000,no
2023-02-05,Filete Trifolatti,3,expired,29400,no
2023-02-06,Arancini,3,expired,11400,no
2023-02-06,Valenciano,1,overprep,6200,yes
2023-02-06,Clásica,2,quality_issue,8400,yes
2023-02-07,Pepperoni,2,expired,7600,no
2023-02-07,Margarita,1,overprep,3200,yes
2023-02-07,Clásica,2,overprep,8400,yes
2023-02-07,Arancini,2,overprep,7600,yes
2023-02-07,Duo del Mar,1,expired,7200,no
2023-02-07,Salmón Tando,1,expired,7200,no
2023-02-07,Margarita,1,expired,3200,no
2023-02-07,Pavlova (Papaya),1,expired,2000,no
2023-02-07,Clásica,1,overprep,4200,yes
2023-02-07,Pavlova (Papaya),2,overprep,4000,yes
2023-02-07,Pavlova (Papaya),2,overprep,4000,yes
2023-02-08,Volcán de Chocolate,2,quality_issue,4200,yes
2023-02-08,Jugo de Pulpa,1,overprep,800,yes
2023-02-08,Locos en su Emulsión,1,expired,11500,no
2023-02-08,Cuatro Formaggi,3,expired,14400,no
2023-02-08,Tabla Estación,1,expired,14500,no
2023-02-09,Pepperoni,2,expired,7600,no
2023-02-09,Clásica,1,expired,4200,no
2023-02-09,Jugo de Pulpa,2,overprep,1600,yes
2023-02-09,Clásica,1,quality_issue,4200,yes
2023-02-09,Locos en su Emulsión,1,expired,11500,no
2023-02-09,Volcán de Chocolate,1,overprep,2100,yes
2023-02-10,Filete Trifolatti,1,overprep,9800,yes
2023-02-10,Clásica,1,overprep,4200,yes
2023-02-10,Arancini,1,overprep,3800,yes
2023-02-10,Tartar de Jaiba con Locos,3,expired,26700,no
2023-02-10,Clásica,2,overprep,8400,yes
2023-02-10,Pepperoni,1,overprep,3800,yes
2023-02-11,Jugo de Pulpa,1,overprep,800,yes
2023-02-11,Cuatro Formaggi,1,expired,4800,no
2023-02-11,Cuatro Formaggi,1,expired,4800,no
2023-02-11,Volcán de Chocolate,1,quality_issue,2100,yes
2023-02-11,Margarita,1,expired,3200,no
2023-02-11,Duo del Mar,2,overprep,14400,yes
2023-02-12,Clásica,2,overprep,8400,yes
2023-02-13,Filete Trifolatti,2,overprep,19600,yes
2023-02-13,Copa de Vino CS,1,overprep,1400,yes
2023-02-13,Pavlova (Papaya),2,overprep,4000,yes
2023-02-13,Margarita,1,overprep,3200,yes
2023-02-13,Tabla Estación,3,expired,43500,no
2023-02-13,Cuatro Formaggi,1,overprep,4800,yes
2023-02-13,Tabla Estación,1,overprep,14500,yes
2023-02-14,Mechada Avocado,2,overprep,9600,yes
2023-02-14,Locos en su Emulsión,3,quality_issue,34500,yes
2023-02-15,Pepperoni,1,quality_issue,3800,yes
2023-02-15,Clásica,2,quality_issue,8400,yes
2023-02-15,Mechada Avocado,1,quality_issue,4800,yes
2023-02-15,Clásica,1,expired,4200,no
2023-02-15,Filete Trifolatti,1,expired,9800,no
2023-02-15,Pepperoni,1,quality_issue,3800,yes
2023-02-16,Arancini,1,overprep,3800,yes
2023-02-16,Duo del Mar,1,overprep,7200,yes
2023-02-16,Arancini,3,damage,11400,yes
2023-02-16,Pepperoni,2,damage,7600,yes
2023-02-17,Jugo de Pulpa,1,overprep,800,yes
2023-02-17,Filete Trifolatti,2,quality_issue,19600,yes
2023-02-17,Camarón a la Vista,1,overprep,5800,yes
2023-02-17,Pepperoni,1,quality_issue,3800,yes
2023-02-17,Pepperoni,1,overprep,3800,yes
2023-02-17,Mechada Avocado,2,overprep,9600,yes
2023-02-18,Duo del Mar,1,quality_issue,7200,yes
2023-02-18,Pavlova (Papaya),1,expired,2000,no
2023-02-19,Mechada Avocado,1,quality_issue,4800,yes
2023-02-19,Salmón Tando,2,overprep,14400,yes
2023-02-19,Clásica,2,overprep,8400,yes
2023-02-20,Duo del Mar,1,expired,7200,no
2023-02-20,Duo del Mar,1,quality_issue,7200,yes
2023-02-20,Mechada Avocado,2,expired,9600,no
2023-02-20,Locos en su Emulsión,1,overprep,11500,yes
2023-02-21,Arancini,1,overprep,3800,yes
2023-02-21,Tabla Estación,1,overprep,14500,yes
2023-02-21,Copa de Vino CS,1,overprep,1400,yes
2023-02-21,Duo del Mar,1,expired,7200,no
2023-02-22,Salmón Tando,2,expired,14400,no
2023-02-22,Pepperoni,1,overprep,3800,yes
2023-02-22,Clásica,1,customer_return,4200,no
2023-02-22,Clásica,2,expired,8400,no
2023-02-22,Pavlova (Papaya),2,expired,4000,no
2023-02-22,Clásica,1,overprep,4200,yes
2023-02-22,Locos en su Emulsión,1,overprep,11500,yes
2023-02-22,Valenciano,1,overprep,6200,yes
2023-02-22,Salmón Tando,1,expired,7200,no
2023-02-23,Pepperoni,1,expired,3800,no
2023-02-23,Tartar de Jaiba con Locos,1,overprep,8900,yes
2023-02-23,Salmón Tando,1,expired,7200,no
2023-02-23,Pepperoni,1,overprep,3800,yes
2023-02-23,Copa de Vino CS,1,expired,1400,no
2023-02-23,Jugo de Pulpa,1,overprep,800,yes
2023-02-23,Margarita,2,expired,6400,no
2023-02-23,Tabla Estación,1,overprep,14500,yes
2023-02-23,Tabla Estación,2,expired,29000,no
2023-02-23,Copa de Vino CS,2,expired,2800,no
2023-02-24,Copa de Vino CS,1,overprep,1400,yes
2023-02-24,Tartar de Jaiba con Locos,1,expired,8900,no
2023-02-24,Margarita,1,expired,3200,no
2023-02-24,Valenciano,1,overprep,6200,yes
2023-02-24,Clásica,1,expired,4200,no
2023-02-24,Copa de Vino CS,2,expired,2800,no
2023-02-24,Copa de Vino CS,1,overprep,1400,yes
2023-02-25,Pepperoni,1,overprep,3800,yes
2023-02-25,Tabla Estación,1,overprep,14500,yes
2023-02-25,Mechada Avocado,2,expired,9600,no
2023-02-25,Clásica,1,customer_return,4200,no
2023-02-25,Copa de Vino CS,1,overprep,1400,yes
2023-02-25,Locos en su Emulsión,1,expired,11500,no
2023-02-25,Locos en su Emulsión,1,expired,11500,no
2023-02-26,Filete Trifolatti,1,expired,9800,no
2023-02-26,Arancini,1,overprep,3800,yes
2023-02-26,Arancini,1,damage,3800,yes
2023-02-26,Cuatro Formaggi,1,expired,4800,no
2023-02-26,Margarita,2,overprep,6400,yes
2023-02-27,Copa de Vino CS,1,damage,1400,yes
2023-02-27,Valenciano,3,expired,18600,no
2023-02-27,Mechada Avocado,1,overprep,4800,yes
2023-02-27,Locos en su Emulsión,1,expired,11500,no
2023-02-27,Pavlova (Papaya),1,expired,2000,no
2023-02-27,Filete Trifolatti,1,expired,9800,no
2023-02-28,Pepperoni,2,quality_issue,7600,yes
2023-02-28,Salmón Tando,1,expired,7200,no
2023-02-28,Camarón a la Vista,1,expired,5800,no
2023-02-28,Salmón Tando,1,overprep,7200,yes
2023-02-28,Camarón a la Vista,2,quality_issue,11600,yes
2023-03-01,Salmón Tando,1,quality_issue,7200,yes
2023-03-01,Pepperoni,1,overprep,3800,yes
2023-03-01,Pavlova (Papaya),1,overprep,2000,yes
2023-03-01,Volcán de Chocolate,1,overprep,2100,yes
2023-03-01,Salmón Tando,2,expired,14400,no
2023-03-01,Arancini,1,overprep,3800,yes
2023-03-01,Pavlova (Papaya),1,overprep,2000,yes
2023-03-01,Mechada Avocado,2,overprep,9600,yes
2023-03-02,Filete Trifolatti,2,expired,19600,no
2023-03-02,Duo del Mar,2,expired,14400,no
2023-03-02,Tabla Estación,3,overprep,43500,yes
2023-03-02,Cuatro Formaggi,1,overprep,4800,yes
2023-03-02,Camarón a la Vista,1,expired,5800,no
2023-03-02,Duo del Mar,1,expired,7200,no
2023-03-02,Jugo de Pulpa,1,overprep,800,yes
2023-03-03,Mechada Avocado,1,expired,4800,no
2023-03-03,Pepperoni,2,overprep,7600,yes
2023-03-03,Salmón Tando,1,quality_issue,7200,yes
2023-03-03,Clásica,1,overprep,4200,yes
2023-03-03,Tartar de Jaiba con Locos,1,overprep,8900,yes
2023-03-03,Salmón Tando,1,quality_issue,7200,yes
2023-03-03,Rocca Avocado,1,expired,8500,no
2023-03-03,Locos en su Emulsión,1,quality_issue,11500,yes
2023-03-03,Mechada Avocado,1,overprep,4800,yes
2023-03-03,Locos en su Emulsión,1,quality_issue,11500,yes
2023-03-04,Salmón Tando,1,overprep,7200,yes
2023-03-04,Pavlova (Papaya),1,overprep,2000,yes
2023-03-04,Arancini,2,overprep,7600,yes
2023-03-04,Camarón a la Vista,1,expired,5800,no
2023-03-04,Duo del Mar,2,expired,14400,no
2023-03-04,Salmón Tando,1,quality_issue,7200,yes
2023-03-04,Duo del Mar,1,overprep,7200,yes
2023-03-04,Pepperoni,2,overprep,7600,yes
2023-03-04,Tartar de Jaiba con Locos,2,expired,17800,no
2023-03-04,Duo del Mar,1,quality_issue,7200,yes
2023-03-05,Margarita,1,overprep,3200,yes
2023-03-05,Duo del Mar,1,expired,7200,no
2023-03-05,Copa de Vino CS,3,overprep,4200,yes
2023-03-05,Duo del Mar,1,expired,7200,no
2023-03-05,Clásica,1,expired,4200,no
2023-03-05,Pepperoni,1,overprep,3800,yes
2023-03-05,Clásica,2,expired,8400,no
2023-03-05,Arancini,2,damage,7600,yes
2023-03-05,Filete Trifolatti,1,expired,9800,no
2023-03-06,Pepperoni,1,expired,3800,no
2023-03-06,Cuatro Formaggi,1,damage,4800,yes
2023-03-06,Clásica,2,overprep,8400,yes
2023-03-06,Margarita,1,expired,3200,no
2023-03-06,Arancini,1,quality_issue,3800,yes
2023-03-06,Duo del Mar,2,expired,14400,no
2023-03-07,Valenciano,1,overprep,6200,yes
2023-03-07,Arancini,2,damage,7600,yes
2023-03-07,Clásica,3,customer_return,12600,no
2023-03-07,Mechada Avocado,1,expired,4800,no
2023-03-07,Duo del Mar,1,overprep,7200,yes
2023-03-07,Pepperoni,1,overprep,3800,yes
2023-03-07,Pepperoni,1,overprep,3800,yes
2023-03-08,Arancini,2,overprep,7600,yes
2023-03-08,Clásica,1,expired,4200,no
2023-03-09,Valenciano,1,overprep,6200,yes
2023-03-09,Volcán de Chocolate,1,expired,2100,no
2023-03-09,Pepperoni,1,overprep,3800,yes
2023-03-09,Pepperoni,1,overprep,3800,yes
2023-03-10,Mechada Avocado,1,expired,4800,no
2023-03-10,Arancini,1,overprep,3800,yes
2023-03-10,Tabla Estación,1,overprep,14500,yes
2023-03-10,Pavlova (Papaya),1,overprep,2000,yes
2023-03-10,Camarón a la Vista,1,overprep,5800,yes
2023-03-10,Camarón a la Vista,2,overprep,11600,yes
2023-03-10,Margarita,3,quality_issue,9600,yes
2023-03-10,Clásica,1,expired,4200,no
2023-03-11,Margarita,1,overprep,3200,yes
2023-03-11,Arancini,1,expired,3800,no
2023-03-11,Volcán de Chocolate,3,overprep,6300,yes
2023-03-12,Margarita,1,overprep,3200,yes
2023-03-12,Tabla Estación,1,overprep,14500,yes
2023-03-12,Margarita,1,overprep,3200,yes
2023-03-12,Clásica,1,quality_issue,4200,yes
2023-03-13,Mechada Avocado,1,quality_issue,4800,yes
2023-03-13,Filete Trifolatti,1,customer_return,9800,no
2023-03-13,Clásica,1,expired,4200,no
2023-03-13,Clásica,1,overprep,4200,yes
2023-03-14,Pavlova (Papaya),2,overprep,4000,yes
2023-03-15,Margarita,2,overprep,6400,yes
2023-03-15,Mechada Avocado,1,overprep,4800,yes
2023-03-15,Duo del Mar,2,quality_issue,14400,yes
2023-03-15,Arancini,3,overprep,11400,yes
2023-03-15,Locos en su Emulsión,1,quality_issue,11500,yes
2023-03-15,Volcán de Chocolate,1,overprep,2100,yes
2023-03-16,Pepperoni,1,overprep,3800,yes
2023-03-16,Pavlova (Papaya),1,damage,2000,yes
2023-03-16,Clásica,1,overprep,4200,yes
2023-03-16,Rocca Avocado,2,overprep,17000,yes
2023-03-16,Mechada Avocado,1,quality_issue,4800,yes
2023-03-16,Volcán de Chocolate,1,overprep,2100,yes
2023-03-17,Copa de Vino CS,1,overprep,1400,yes
2023-03-17,Locos en su Emulsión,2,quality_issue,23000,yes
2023-03-18,Duo del Mar,2,overprep,14400,yes
2023-03-18,Cuatro Formaggi,1,overprep,4800,yes
2023-03-18,Mechada Avocado,1,expired,4800,no
2023-03-18,Arancini,1,damage,3800,yes
2023-03-18,Cuatro Formaggi,1,expired,4800,no
2023-03-18,Margarita,2,overprep,6400,yes
2023-03-18,Jugo de Pulpa,1,overprep,800,yes
2023-03-18,Pepperoni,3,expired,11400,no
2023-03-18,Tabla Estación,2,overprep,29000,yes
2023-03-18,Copa de Vino CS,1,overprep,1400,yes
2023-03-18,Cuatro Formaggi,1,overprep,4800,yes
2023-03-18,Filete Trifolatti,2,expired,19600,no
2023-03-18,Clásica,2,expired,8400,no
2023-03-18,Valenciano,2,overprep,12400,yes
2023-03-18,Mechada Avocado,1,quality_issue,4800,yes
2023-03-18,Mechada Avocado,1,expired,4800,no
2023-03-19,Salmón Tando,2,expired,14400,no
2023-03-19,Filete Trifolatti,2,overprep,19600,yes
2023-03-19,Copa de Vino CS,1,overprep,1400,yes
2023-03-19,Clásica,1,expired,4200,no
2023-03-20,Cuatro Formaggi,2,overprep,9600,yes
2023-03-20,Filete Trifolatti,2,overprep,19600,yes
2023-03-20,Arancini,1,damage,3800,yes
2023-03-20,Copa de Vino CS,1,overprep,1400,yes
2023-03-20,Pavlova (Papaya),3,expired,6000,no
2023-03-21,Tabla Estación,2,overprep,29000,yes
2023-03-21,Pepperoni,1,overprep,3800,yes
2023-03-22,Copa de Vino CS,2,overprep,2800,yes
2023-03-22,Arancini,2,overprep,7600,yes
2023-03-22,Margarita,1,damage,3200,yes
2023-03-23,Duo del Mar,1,expired,7200,no
2023-03-23,Jugo de Pulpa,1,overprep,800,yes
2023-03-23,Arancini,1,expired,3800,no
2023-03-23,Clásica,1,customer_return,4200,no
2023-03-23,Valenciano,1,expired,6200,no
2023-03-24,Salmón Tando,1,expired,7200,no
2023-03-24,Margarita,2,damage,6400,yes
2023-03-24,Mechada Avocado,1,overprep,4800,yes
2023-03-24,Locos en su Emulsión,1,expired,11500,no
2023-03-24,Volcán de Chocolate,2,overprep,4200,yes
2023-03-24,Rocca Avocado,3,damage,25500,yes
2023-03-25,Clásica,2,overprep,8400,yes
2023-03-25,Jugo de Pulpa,1,expired,800,no
2023-03-25,Volcán de Chocolate,2,quality_issue,4200,yes
2023-03-25,Salmón Tando,1,expired,7200,no
2023-03-25,Margarita,1,expired,3200,no
2023-03-25,Tabla Estación,1,expired,14500,no
2023-03-25,Mechada Avocado,2,expired,9600,no
2023-03-25,Cuatro Formaggi,2,expired,9600,no
2023-03-25,Pepperoni,2,overprep,7600,yes
2023-03-25,Mechada Avocado,1,overprep,4800,yes
2023-03-26,Tabla Estación,1,overprep,14500,yes
2023-03-26,Rocca Avocado,1,overprep,8500,yes
2023-03-26,Margarita,1,expired,3200,no
2023-03-26,Pepperoni,3,damage,11400,yes
2023-03-26,Mechada Avocado,2,overprep,9600,yes
2023-03-27,Salmón Tando,1,overprep,7200,yes
2023-03-27,Pepperoni,1,quality_issue,3800,yes
2023-03-28,Clásica,1,expired,4200,no
2023-03-28,Pepperoni,1,overprep,3800,yes
2023-03-28,Jugo de Pulpa,1,expired,800,no
2023-03-28,Cuatro Formaggi,1,expired,4800,no
2023-03-28,Cuatro Formaggi,1,expired,4800,no
2023-03-29,Pepperoni,2,damage,7600,yes
2023-03-29,Locos en su Emulsión,1,quality_issue,11500,yes
2023-03-29,Margarita,2,quality_issue,6400,yes
2023-03-29,Arancini,1,overprep,3800,yes
2023-03-29,Valenciano,1,overprep,6200,yes
2023-03-29,Valenciano,1,expired,6200,no
2023-03-29,Duo del Mar,1,overprep,7200,yes
2023-03-29,Pepperoni,1,overprep,3800,yes
2023-03-29,Margarita,1,damage,3200,yes
2023-03-29,Pepperoni,2,overprep,7600,yes
2023-03-30,Locos en su Emulsión,2,customer_return,23000,no
2023-03-30,Cuatro Formaggi,1,expired,4800,no
2023-03-30,Margarita,1,expired,3200,no
2023-03-30,Volcán de Chocolate,1,overprep,2100,yes
2023-03-30,Valenciano,1,overprep,6200,yes
2023-03-30,Mechada Avocado,1,overprep,4800,yes
2023-03-31,Camarón a la Vista,1,expired,5800,no
2023-03-31,Mechada Avocado,1,customer_return,4800,no
2023-03-31,Mechada Avocado,1,overprep,4800,yes
2023-03-31,Cuatro Formaggi,1,overprep,4800,yes
2023-03-31,Pepperoni,2,expired,7600,no
2023-03-31,Mechada Avocado,1,expired,4800,no
2023-03-31,Clásica,1,overprep,4200,yes
2023-04-01,Duo del Mar,1,quality_issue,7200,yes
2023-04-01,Camarón a la Vista,2,customer_return,11600,no
2023-04-01,Cuatro Formaggi,2,quality_issue,9600,yes
2023-04-01,Salmón Tando,1,expired,7200,no
2023-04-01,Margarita,1,overprep,3200,yes
2023-04-02,Margarita,1,overprep,3200,yes
2023-04-03,Duo del Mar,2,expired,14400,no
2023-04-03,Arancini,2,overprep,7600,yes
2023-04-04,Cuatro Formaggi,1,expired,4800,no
2023-04-04,Copa de Vino CS,2,damage,2800,yes
2023-04-04,Clásica,1,expired,4200,no
2023-04-04,Copa de Vino CS,1,expired,1400,no
2023-04-04,Volcán de Chocolate,1,overprep,2100,yes
2023-04-04,Filete Trifolatti,1,quality_issue,9800,yes
2023-04-05,Cuatro Formaggi,1,expired,4800,no
2023-04-05,Margarita,2,overprep,6400,yes
2023-04-05,Mechada Avocado,1,overprep,4800,yes
2023-04-06,Jugo de Pulpa,1,quality_issue,800,yes
2023-04-06,Margarita,1,expired,3200,no
2023-04-06,Rocca Avocado,1,expired,8500,no
2023-04-06,Pepperoni,3,expired,11400,no
2023-04-07,Valenciano,1,quality_issue,6200,yes
