date,platform,rating,text,sentiment_label
2023-01-09,TripAdvisor,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-09,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-01-09,Instagram,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-09,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-09,TripAdvisor,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-09,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-09,Instagram,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-09,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-10,TripAdvisor,4,"Excelente atención, el garzón fue muy amable.",positive
2023-01-10,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-01-10,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-01-10,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-10,Google,2,Muy caro para lo que ofrecen.,negative
2023-01-11,TripAdvisor,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-01-11,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-12,TripAdvisor,4,Muy buen ambiente y música agradable.,positive
2023-01-12,TripAdvisor,5,"Rápido y rico, volveremos seguro.",positive
2023-01-12,Google,2,La comida llegó fría y el garzón fue grosero.,negative
2023-01-12,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-01-12,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-01-12,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-12,TripAdvisor,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-01-12,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-12,Google,2,El baño estaba sucio y descuidado.,negative
2023-01-12,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-12,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-13,TripAdvisor,3,Precios un poco altos para la cantidad.,neutral
2023-01-13,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-13,TripAdvisor,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-13,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-13,Google,4,Muy buen ambiente y música agradable.,positive
2023-01-13,Google,5,Muy buen ambiente y música agradable.,positive
2023-01-13,TripAdvisor,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-13,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-14,Instagram,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-14,Google,3,Precios un poco altos para la cantidad.,neutral
2023-01-14,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-14,Instagram,4,"Rápido y rico, volveremos seguro.",positive
2023-01-14,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-14,Google,2,El local estaba lleno y nadie nos atendía.,negative
2023-01-15,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-15,TripAdvisor,2,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-15,Instagram,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-16,TripAdvisor,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-16,TripAdvisor,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-16,Google,4,Muy buen ambiente y música agradable.,positive
2023-01-16,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-17,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-17,Google,1,Muy caro para lo que ofrecen.,negative
2023-01-17,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-17,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-17,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-17,Google,2,El baño estaba sucio y descuidado.,negative
2023-01-17,Google,3,Precios un poco altos para la cantidad.,neutral
2023-01-18,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-18,Instagram,4,"Excelente atención, el garzón fue muy amable.",positive
2023-01-18,Google,4,Muy buen ambiente y música agradable.,positive
2023-01-18,Google,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-18,TripAdvisor,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-18,Google,1,Muy caro para lo que ofrecen.,negative
2023-01-18,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-19,TripAdvisor,3,Precios un poco altos para la cantidad.,neutral
2023-01-19,TripAdvisor,2,La comida llegó fría y el garzón fue grosero.,negative
2023-01-19,Instagram,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-19,Instagram,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-19,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-01-19,TripAdvisor,2,Muy caro para lo que ofrecen.,negative
2023-01-19,Google,1,El baño estaba sucio y descuidado.,negative
2023-01-19,TripAdvisor,2,Muy caro para lo que ofrecen.,negative
2023-01-19,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-19,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-01-19,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-20,TripAdvisor,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-20,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-01-20,Google,4,Muy buen ambiente y música agradable.,positive
2023-01-20,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-20,TripAdvisor,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-20,Instagram,1,Muy caro para lo que ofrecen.,negative
2023-01-20,Google,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-01-20,TripAdvisor,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-20,Google,3,"Bien, pero nada extraordinario.",neutral
2023-01-20,TripAdvisor,5,Muy buen ambiente y música agradable.,positive
2023-01-20,TripAdvisor,1,El baño estaba sucio y descuidado.,negative
2023-01-21,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-21,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-21,Google,3,"Bien, pero nada extraordinario.",neutral
2023-01-21,Google,2,El baño estaba sucio y descuidado.,negative
2023-01-21,TripAdvisor,2,Muy caro para lo que ofrecen.,negative
2023-01-21,Google,2,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-01-21,Google,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-22,TripAdvisor,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-22,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-01-22,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-01-22,TripAdvisor,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-23,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-23,TripAdvisor,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-23,Google,3,Precios un poco altos para la cantidad.,neutral
2023-01-23,Google,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-01-23,Google,2,El baño estaba sucio y descuidado.,negative
2023-01-23,Google,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-24,Google,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-24,TripAdvisor,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-24,Google,3,"Bien, pero nada extraordinario.",neutral
2023-01-24,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-24,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-01-25,TripAdvisor,4,"Rápido y rico, volveremos seguro.",positive
2023-01-25,Instagram,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-25,TripAdvisor,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-26,TripAdvisor,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-26,TripAdvisor,2,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-26,TripAdvisor,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-26,TripAdvisor,4,Muy buen ambiente y música agradable.,positive
2023-01-26,Google,2,Muy caro para lo que ofrecen.,negative
2023-01-27,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-27,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-27,Google,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-01-27,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-27,TripAdvisor,4,"Rápido y rico, volveremos seguro.",positive
2023-01-27,Google,5,Muy buen ambiente y música agradable.,positive
2023-01-27,Google,1,La comida llegó fría y el garzón fue grosero.,negative
2023-01-28,Instagram,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-28,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-28,TripAdvisor,3,"Bien, pero nada extraordinario.",neutral
2023-01-28,Instagram,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-28,TripAdvisor,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-01-28,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-28,Google,1,El baño estaba sucio y descuidado.,negative
2023-01-29,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-01-29,TripAdvisor,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-29,TripAdvisor,1,El local estaba lleno y nadie nos atendía.,negative
2023-01-29,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-29,TripAdvisor,3,"Bien, pero nada extraordinario.",neutral
2023-01-29,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-01-29,Instagram,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-01-29,Google,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-01-29,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-30,Google,2,El local estaba lleno y nadie nos atendía.,negative
2023-01-30,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-01-30,Google,3,Precios un poco altos para la cantidad.,neutral
2023-01-30,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-01-31,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-31,TripAdvisor,3,"Bien, pero nada extraordinario.",neutral
2023-01-31,Google,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-31,TripAdvisor,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-31,Google,1,Muy caro para lo que ofrecen.,negative
2023-02-01,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-02-01,Instagram,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-02,TripAdvisor,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-02,Google,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-02,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-02-02,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-03,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-03,Instagram,5,Muy buen ambiente y música agradable.,positive
2023-02-03,TripAdvisor,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-03,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-02-03,Google,2,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-03,Google,3,"Bien, pero nada extraordinario.",neutral
2023-02-03,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-03,Google,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-04,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-04,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-04,TripAdvisor,4,Increíble vista al mar y la comida deliciosa.,positive
2023-02-04,TripAdvisor,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-04,TripAdvisor,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-04,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-04,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-04,TripAdvisor,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-05,TripAdvisor,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-05,Google,3,"Bien, pero nada extraordinario.",neutral
2023-02-05,TripAdvisor,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-02-05,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-06,TripAdvisor,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-06,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-06,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-02-06,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-02-07,TripAdvisor,4,Increíble vista al mar y la comida deliciosa.,positive
2023-02-07,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-02-07,TripAdvisor,3,Precios un poco altos para la cantidad.,neutral
2023-02-07,TripAdvisor,4,Muy buen ambiente y música agradable.,positive
2023-02-07,TripAdvisor,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-07,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-02-07,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-07,TripAdvisor,5,"Excelente atención, el garzón fue muy amable.",positive
2023-02-07,Instagram,3,"Bien, pero nada extraordinario.",neutral
2023-02-07,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-07,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-08,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-02-08,Instagram,5,Muy buen ambiente y música agradable.,positive
2023-02-08,Google,4,Muy buen ambiente y música agradable.,positive
2023-02-08,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-02-09,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-09,TripAdvisor,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-09,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-02-09,Instagram,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-09,Google,2,Muy caro para lo que ofrecen.,negative
2023-02-09,Instagram,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-09,Google,4,Muy buen ambiente y música agradable.,positive
2023-02-09,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-10,TripAdvisor,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-10,Instagram,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-10,Instagram,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-10,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-10,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-10,Google,5,Muy buen ambiente y música agradable.,positive
2023-02-10,Instagram,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-02-11,TripAdvisor,5,Muy buen ambiente y música agradable.,positive
2023-02-11,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-02-11,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-11,Instagram,3,"La comida bien, pero demoraron un poco.",neutral
2023-02-12,TripAdvisor,1,Muy caro para lo que ofrecen.,negative
2023-02-12,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-02-13,Google,1,La comida llegó fría y el garzón fue grosero.,negative
2023-02-13,TripAdvisor,5,"Rápido y rico, volveremos seguro.",positive
2023-02-13,TripAdvisor,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-13,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-02-13,Google,5,Muy buen ambiente y música agradable.,positive
2023-02-13,Google,4,Muy buen ambiente y música agradable.,positive
2023-02-14,TripAdvisor,5,Increíble vista al mar y la comida deliciosa.,positive
2023-02-14,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-14,Google,2,El baño estaba sucio y descuidado.,negative
2023-02-15,Google,4,Muy buen ambiente y música agradable.,positive
2023-02-15,Google,4,Muy buen ambiente y música agradable.,positive
2023-02-16,TripAdvisor,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-16,Google,2,La comida llegó fría y el garzón fue grosero.,negative
2023-02-16,TripAdvisor,4,"Rápido y rico, volveremos seguro.",positive
2023-02-16,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-16,TripAdvisor,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-16,Google,3,"Bien, pero nada extraordinario.",neutral
2023-02-16,Google,2,El baño estaba sucio y descuidado.,negative
2023-02-16,TripAdvisor,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-16,TripAdvisor,2,La comida llegó fría y el garzón fue grosero.,negative
2023-02-16,TripAdvisor,2,El local estaba lleno y nadie nos atendía.,negative
2023-02-16,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-02-16,TripAdvisor,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-02-17,Google,3,Precios un poco altos para la cantidad.,neutral
2023-02-17,Google,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-17,Google,1,El baño estaba sucio y descuidado.,negative
2023-02-17,Google,3,Precios un poco altos para la cantidad.,neutral
2023-02-17,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-17,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-17,Google,4,Muy buen ambiente y música agradable.,positive
2023-02-18,Google,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-18,Google,1,El baño estaba sucio y descuidado.,negative
2023-02-18,Instagram,1,La comida llegó fría y el garzón fue grosero.,negative
2023-02-18,TripAdvisor,5,Muy buen ambiente y música agradable.,positive
2023-02-18,TripAdvisor,5,Increíble vista al mar y la comida deliciosa.,positive
2023-02-18,TripAdvisor,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-18,TripAdvisor,4,Muy buen ambiente y música agradable.,positive
2023-02-18,TripAdvisor,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-18,TripAdvisor,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-02-19,Instagram,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-19,TripAdvisor,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-19,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-20,Instagram,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-20,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-02-20,Instagram,5,Muy buen ambiente y música agradable.,positive
2023-02-20,TripAdvisor,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-20,Google,2,Muy caro para lo que ofrecen.,negative
2023-02-20,TripAdvisor,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-20,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-20,TripAdvisor,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-20,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-02-21,TripAdvisor,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-22,Instagram,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-22,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-02-22,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-02-23,TripAdvisor,1,La comida llegó fría y el garzón fue grosero.,negative
2023-02-23,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-02-23,Google,3,Precios un poco altos para la cantidad.,neutral
2023-02-23,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-23,TripAdvisor,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-23,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-23,Google,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-23,Google,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-23,Google,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-24,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-02-24,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-24,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-02-24,Google,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-24,Instagram,1,La comida llegó fría y el garzón fue grosero.,negative
2023-02-24,TripAdvisor,3,La pizza estaba rica pero llegó tibia.,neutral
2023-02-24,Instagram,1,El local estaba lleno y nadie nos atendía.,negative
2023-02-25,TripAdvisor,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-25,TripAdvisor,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-25,Instagram,5,"Excelente atención, el garzón fue muy amable.",positive
2023-02-25,TripAdvisor,3,"Bien, pero nada extraordinario.",neutral
2023-02-26,TripAdvisor,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-02-26,Google,1,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-02-26,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-26,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-02-27,Instagram,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-02-27,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-02-27,Google,1,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-02-27,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-27,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-02-27,Instagram,5,Muy buen ambiente y música agradable.,positive
2023-02-27,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-27,TripAdvisor,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-02-28,TripAdvisor,4,"Excelente atención, el garzón fue muy amable.",positive
2023-02-28,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-03-01,Instagram,3,La pizza estaba rica pero llegó tibia.,neutral
2023-03-01,TripAdvisor,5,"Excelente atención, el garzón fue muy amable.",positive
2023-03-01,TripAdvisor,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-03-01,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-03-01,TripAdvisor,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-03-02,Google,2,Muy caro para lo que ofrecen.,negative
2023-03-02,Google,1,El baño estaba sucio y descuidado.,negative
2023-03-02,TripAdvisor,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-03-02,TripAdvisor,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-03-02,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-03-03,TripAdvisor,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-03-03,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-03-03,Google,4,Muy buen ambiente y música agradable.,positive
2023-03-03,TripAdvisor,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-03-03,TripAdvisor,4,"Excelente atención, el garzón fue muy amable.",positive
2023-03-04,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-03-04,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-03-04,Google,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-03-04,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-03-04,Instagram,5,"Excelente atención, el garzón fue muy amable.",positive
2023-03-05,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-03-05,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-03-05,Google,4,"La tabla estación es gigante, perfecta para compartir.",positive
2023-03-05,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-03-06,Google,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-03-06,Google,1,El baño estaba sucio y descuidado.,negative
2023-03-06,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-03-07,Instagram,5,Increíble vista al mar y la comida deliciosa.,positive
2023-03-07,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-03-07,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-03-07,Google,2,Muy caro para lo que ofrecen.,negative
2023-03-07,Google,2,El baño estaba sucio y descuidado.,negative
2023-03-07,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-03-07,Instagram,3,Precios un poco altos para la cantidad.,neutral
2023-03-07,Google,4,"Rápido y rico, volveremos seguro.",positive
2023-03-08,Instagram,5,"La tabla estación es gigante, perfecta para compartir.",positive
2023-03-08,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-03-08,Google,4,"Excelente atención, el garzón fue muy amable.",positive
2023-03-08,Google,3,Precios un poco altos para la cantidad.,neutral
