date,target_revenue,qty_sold,weather_temp,is_weekend,is_holiday,foot_traffic_estimate,num_reservations,reserved_pax,day_of_week,month,day_of_month,promo_pizza_tuesday,promo_ladies_thursday,promo_happy_hour,revenue_t-1,revenue_t-7,revenue_t-28,rolling_7d_avg,rolling_30d_avg
2023-03-10,2399800,146,18.9,1,0,106.0,30.0,78.0,4,3,10,0,0,1,1982530.0,1789290.0,1587880.0,1469650.0,1448245.0
2023-03-11,1571800,118,20.1,1,0,124.0,38.0,124.0,5,3,11,0,0,0,2399800.0,1489720.0,1910520.0,1556865.7142857143,1498831.6666666667
2023-03-12,1216470,93,13.8,0,0,98.0,23.0,68.0,6,3,12,0,0,0,1571800.0,1107280.0,866800.0,1568591.4285714286,1492229.0
2023-03-13,1132800,84,24.4,0,0,90.0,31.0,84.0,0,3,13,0,0,1,1216470.0,1007980.0,925590.0,1584190.0,1479848.6666666667
2023-03-14,1825040,136,16.3,0,0,110.0,0.0,0.0,1,3,14,1,0,1,1132800.0,1596700.0,1891770.0,1602021.4285714286,1453924.6666666667
2023-03-15,1270080,95,16.4,0,0,79.0,23.0,56.0,2,3,15,0,0,1,1825040.0,1314050.0,1573730.0,1634641.4285714286,1485866.0
2023-03-16,1618580,152,16.6,0,0,132.0,0.0,0.0,3,3,16,0,1,1,1270080.0,1982530.0,2170010.0,1628360.0,1497349.0
2023-03-17,1805360,124,23.0,1,0,126.0,42.0,112.0,4,3,17,0,0,1,1618580.0,2399800.0,1996200.0,1576367.142857143,1488242.6666666667
2023-03-18,2455130,169,22.0,1,0,146.0,51.0,140.0,5,3,18,0,0,0,1805360.0,1571800.0,2069580.0,1491447.142857143,1495963.6666666667
2023-03-19,1073080,69,20.0,0,0,82.0,22.0,54.0,6,3,19,0,0,0,2455130.0,1216470.0,1031800.0,1617637.142857143,1505467.6666666667
2023-03-20,1143040,84,16.6,0,0,94.0,33.0,84.0,0,3,20,0,0,1,1073080.0,1132800.0,1118650.0,1597152.857142857,1474697.0
2023-03-21,851550,56,19.0,0,0,57.0,0.0,0.0,1,3,21,1,0,1,1143040.0,1825040.0,608300.0,1598615.7142857143,1443812.3333333333
2023-03-22,1080040,77,17.6,0,0,75.0,26.0,64.0,2,3,22,0,0,1,851550.0,1270080.0,1279300.0,1459545.7142857143,1437804.0
2023-03-23,1903880,171,17.1,0,0,148.0,0.0,0.0,3,3,23,0,1,1,1080040.0,1618580.0,1383390.0,1432397.142857143,1436517.0
2023-03-24,1568500,120,17.1,1,0,123.0,31.0,82.0,4,3,24,0,0,1,1903880.0,1805360.0,1955230.0,1473154.2857142857,1479703.0
2023-03-25,1591480,105,20.9,1,0,129.0,42.0,106.0,5,3,25,0,0,0,1568500.0,2455130.0,1755080.0,1439317.142857143,1489343.0
2023-03-26,1145180,81,22.8,0,0,82.0,28.0,72.0,6,3,26,0,0,0,1591480.0,1073080.0,1322890.0,1315938.5714285714,1496279.3333333333
2023-03-27,1129600,81,22.7,0,0,110.0,35.0,100.0,0,3,27,0,0,1,1145180.0,1143040.0,815500.0,1326238.5714285714,1469277.6666666667
2023-03-28,1168130,79,16.5,0,0,77.0,0.0,0.0,1,3,28,1,0,1,1129600.0,851550.0,1607870.0,1324318.5714285714,1448428.3333333333
2023-03-29,1037740,89,19.6,0,0,86.0,22.0,62.0,2,3,29,0,0,1,1168130.0,1080040.0,1527590.0,1369544.2857142857,1443269.6666666667
2023-03-30,1526590,158,22.3,0,0,144.0,0.0,0.0,3,3,30,0,1,1,1037740.0,1903880.0,1110040.0,1363501.4285714286,1450677.6666666667
2023-03-31,1227530,97,23.3,1,0,92.0,31.0,90.0,4,3,31,0,0,1,1526590.0,1568500.0,1789290.0,1309602.857142857,1447968.3333333333
2023-04-01,1445000,101,14.4,1,0,125.0,43.0,122.0,5,4,1,0,0,0,1227530.0,1591480.0,1489720.0,1260892.857142857,1437966.3333333333
2023-04-02,1897290,121,25.1,0,0,107.0,32.0,80.0,6,4,2,0,0,0,1445000.0,1145180.0,1107280.0,1239967.142857143,1449131.6666666667
2023-04-03,837040,57,10.9,0,0,69.0,18.0,46.0,0,4,3,0,0,1,1897290.0,1129600.0,1007980.0,1347411.4285714286,1452731.6666666667
2023-04-04,639150,50,15.1,0,0,46.0,0.0,0.0,1,4,4,1,0,1,837040.0,1168130.0,1596700.0,1305617.142857143,1430975.6666666667
2023-04-05,1002600,69,16.6,0,0,76.0,19.0,46.0,2,4,5,0,0,1,639150.0,1037740.0,1314050.0,1230048.5714285714,1415371.3333333333
2023-04-06,2217450,180,14.2,0,0,144.0,0.0,0.0,3,4,6,0,1,1,1002600.0,1526590.0,1982530.0,1225028.5714285714,1415192.0
2023-04-07,2526740,168,17.3,1,1,157.0,51.0,140.0,4,4,7,0,0,0,2217450.0,1227530.0,2399800.0,1323722.857142857,1435883.6666666667
2023-04-08,1456770,102,12.0,1,0,108.0,31.0,82.0,5,4,8,0,0,0,2526740.0,1445000.0,1571800.0,1509324.2857142857,1476306.6666666667
2023-04-09,324290,31,17.4,0,0,46.0,14.0,44.0,6,4,9,0,0,0,1456770.0,1897290.0,1216470.0,1511005.7142857143,1458781.3333333333
2023-04-10,1373470,94,15.9,0,0,93.0,23.0,70.0,0,4,10,0,0,1,324290.0,837040.0,1132800.0,1286291.4285714286,1389597.6666666667
2023-04-11,1732090,143,15.5,0,0,92.0,0.0,0.0,1,4,11,1,0,1,1373470.0,639150.0,1825040.0,1362924.2857142857,1382986.6666666667
2023-04-12,954100,70,13.0,0,0,73.0,22.0,68.0,2,4,12,0,0,1,1732090.0,1002600.0,1270080.0,1519058.5714285714,1400174.0
2023-04-13,1430130,145,18.1,0,0,148.0,0.0,0.0,3,4,13,0,1,1,954100.0,2217450.0,1618580.0,1512130.0,1394217.3333333333
2023-04-14,1895200,118,17.9,1,0,95.0,32.0,78.0,4,4,14,0,0,1,1430130.0,2526740.0,1805360.0,1399655.7142857143,1381053.6666666667
2023-04-15,1152980,89,19.6,1,0,107.0,34.0,114.0,5,4,15,0,0,0,1895200.0,1456770.0,2455130.0,1309435.7142857143,1401891.0
2023-04-16,1300350,84,16.2,0,0,79.0,21.0,58.0,6,4,16,0,0,0,1152980.0,324290.0,1073080.0,1266037.142857143,1386371.0
2023-04-17,694000,46,19.9,0,0,68.0,18.0,56.0,0,4,17,0,0,1,1300350.0,1373470.0,1143040.0,1405474.2857142857,1369537.3333333333
2023-04-18,1324300,94,22.4,0,0,76.0,0.0,0.0,1,4,18,1,0,1,694000.0,1732090.0,851550.0,1308407.142857143,1310833.0
2023-04-19,763700,60,21.4,0,0,76.0,25.0,58.0,2,4,19,0,0,1,1324300.0,954100.0,1080040.0,1250151.4285714286,1319207.0
2023-04-20,1643920,159,15.5,0,0,131.0,0.0,0.0,3,4,20,0,1,1,763700.0,1430130.0,1903880.0,1222951.4285714286,1306562.3333333333
2023-04-21,1749060,153,18.4,1,0,130.0,39.0,114.0,4,4,21,0,0,1,1643920.0,1895200.0,1568500.0,1253492.857142857,1332974.6666666667
2023-04-22,1746890,118,14.8,1,0,121.0,31.0,86.0,5,4,22,0,0,0,1749060.0,1152980.0,1591480.0,1232615.7142857143,1355275.3333333333
2023-04-23,1398800,87,19.3,0,0,70.0,23.0,52.0,6,4,23,0,0,0,1746890.0,1300350.0,1145180.0,1317460.0,1350042.3333333333
2023-04-24,920800,67,19.9,0,0,68.0,20.0,56.0,0,4,24,0,0,1,1398800.0,694000.0,1129600.0,1331524.2857142857,1344385.6666666667
2023-04-25,953030,75,13.0,0,0,72.0,0.0,0.0,1,4,25,1,0,1,920800.0,1324300.0,1168130.0,1363924.2857142857,1322029.6666666667
2023-04-26,1003500,80,16.5,0,0,69.0,21.0,46.0,2,4,26,0,0,1,953030.0,763700.0,1037740.0,1310885.7142857143,1315624.6666666667
2023-04-27,1849290,209,15.1,0,0,161.0,0.0,0.0,3,4,27,0,1,1,1003500.0,1643920.0,1526590.0,1345142.857142857,1311421.3333333333
2023-04-28,1224050,106,15.2,1,0,102.0,32.0,82.0,4,4,28,0,0,1,1849290.0,1749060.0,1227530.0,1374481.4285714286,1334126.6666666667
2023-04-29,1244070,87,19.5,1,0,115.0,33.0,88.0,5,4,29,0,0,0,1224050.0,1746890.0,1445000.0,1299480.0,1340337.0
2023-04-30,695100,41,16.4,0,0,59.0,14.0,38.0,6,4,30,0,0,0,1244070.0,1398800.0,1897290.0,1227648.5714285714,1330919.6666666667
2023-05-01,1626840,110,9.4,0,1,123.0,42.0,120.0,0,5,1,0,0,0,695100.0,920800.0,837040.0,1127120.0,1313172.0
2023-05-02,1284880,98,9.8,0,0,74.0,0.0,0.0,1,5,2,1,0,1,1626840.0,953030.0,639150.0,1227982.857142857,1319233.3333333333
2023-05-03,807230,61,11.2,0,0,71.0,19.0,60.0,2,5,3,0,0,1,1284880.0,1003500.0,1002600.0,1275390.0,1298819.6666666667
2023-05-04,1725730,165,14.4,0,0,139.0,0.0,0.0,3,5,4,0,1,1,807230.0,1849290.0,2217450.0,1247351.4285714286,1297826.0
2023-05-05,1607930,111,15.7,1,0,121.0,30.0,88.0,4,5,5,0,0,1,1725730.0,1224050.0,2526740.0,1229700.0,1334045.3333333333
2023-05-06,1856420,106,9.7,1,0,112.0,39.0,116.0,5,5,6,0,0,0,1607930.0,1244070.0,1456770.0,1284540.0,1354223.0
2023-05-07,1539590,103,3.2,0,0,100.0,28.0,80.0,6,5,7,0,0,0,1856420.0,695100.0,324290.0,1372018.5714285714,1342188.6666666667
2023-05-08,1676460,117,12.6,0,0,85.0,22.0,62.0,0,5,8,0,0,1,1539590.0,1626840.0,1373470.0,1492660.0,1309283.6666666667
2023-05-09,1540660,110,9.3,0,0,110.0,0.0,0.0,1,5,9,1,0,1,1676460.0,1284880.0,1732090.0,1499748.5714285714,1316606.6666666667
2023-05-10,1571070,110,10.2,0,0,102.0,33.0,80.0,2,5,10,0,0,1,1540660.0,807230.0,954100.0,1536288.5714285714,1357152.3333333333
2023-05-11,1613600,154,12.1,0,0,160.0,0.0,0.0,3,5,11,0,1,1,1571070.0,1725730.0,1430130.0,1645408.5714285714,1363739.0
2023-05-12,2076090,150,9.4,1,0,144.0,45.0,116.0,4,5,12,0,0,1,1613600.0,1607930.0,1895200.0,1629390.0,1359789.3333333333
2023-05-13,2057200,139,7.2,1,0,126.0,31.0,82.0,5,5,13,0,0,0,2076090.0,1856420.0,1152980.0,1696270.0,1397189.0
2023-05-14,1192080,85,9.9,0,0,96.0,31.0,78.0,6,5,14,0,0,0,2057200.0,1539590.0,1300350.0,1724952.857142857,1418091.3333333333
2023-05-15,1056100,89,12.4,0,0,83.0,28.0,72.0,0,5,15,0,0,1,1192080.0,1676460.0,694000.0,1675308.5714285714,1394654.0
2023-05-16,1046840,70,15.9,0,0,57.0,0.0,0.0,1,5,16,1,0,1,1056100.0,1540660.0,1324300.0,1586685.7142857143,1391424.6666666667
2023-05-17,1397140,103,11.6,0,0,96.0,29.0,86.0,2,5,17,0,0,1,1046840.0,1571070.0,763700.0,1516140.0,1382974.3333333333
2023-05-18,1588590,157,17.0,0,0,133.0,0.0,0.0,3,5,18,0,1,1,1397140.0,1613600.0,1643920.0,1491292.857142857,1406412.3333333333
2023-05-19,1762400,113,7.4,1,0,114.0,31.0,96.0,4,5,19,0,0,1,1588590.0,2076090.0,1749060.0,1487720.0,1415222.0
2023-05-20,1572490,108,14.4,1,0,123.0,35.0,88.0,5,5,20,0,0,0,1762400.0,2057200.0,1746890.0,1442907.142857143,1448512.0
2023-05-21,1129990,88,8.2,0,0,82.0,23.0,54.0,6,5,21,0,0,0,1572490.0,1192080.0,1398800.0,1373662.857142857,1446131.0
2023-05-22,1000500,85,14.7,0,0,75.0,24.0,68.0,0,5,22,0,0,1,1129990.0,1056100.0,920800.0,1364792.857142857,1425495.3333333333
2023-05-23,852400,75,10.2,0,0,71.0,0.0,0.0,1,5,23,1,0,1,1000500.0,1046840.0,953030.0,1356850.0,1400615.6666666667
2023-05-24,913080,77,11.9,0,0,82.0,25.0,84.0,2,5,24,0,0,1,852400.0,1397140.0,1003500.0,1329072.857142857,1382402.3333333333
2023-05-25,1374300,136,14.8,0,0,118.0,0.0,0.0,3,5,25,0,1,1,913080.0,1588590.0,1849290.0,1259921.4285714286,1382145.0
2023-05-26,1241130,94,9.9,1,0,112.0,39.0,110.0,4,5,26,0,0,1,1374300.0,1762400.0,1224050.0,1229308.5714285714,1396187.3333333333
2023-05-27,1945830,134,11.4,1,0,145.0,46.0,126.0,5,5,27,0,0,0,1241130.0,1572490.0,1244070.0,1154841.4285714286,1404108.3333333333
2023-05-28,1035000,77,11.8,0,0,80.0,20.0,50.0,6,5,28,0,0,0,1945830.0,1129990.0,695100.0,1208175.7142857143,1407326.3333333333
2023-05-29,833480,52,17.2,0,0,68.0,20.0,54.0,0,5,29,0,0,1,1035000.0,1000500.0,1626840.0,1194605.7142857143,1401024.6666666667
2023-05-30,1031200,75,15.0,0,0,73.0,0.0,0.0,1,5,30,1,0,1,833480.0,852400.0,1284880.0,1170745.7142857143,1387338.3333333333
2023-05-31,930690,55,11.4,0,0,83.0,25.0,62.0,2,5,31,0,0,1,1031200.0,913080.0,807230.0,1196288.5714285714,1398541.6666666667
2023-06-01,2106070,186,8.3,0,0,163.0,0.0,0.0,3,6,1,0,1,1,930690.0,1374300.0,1725730.0,1198804.2857142857,1375336.6666666667
2023-06-02,1611510,110,13.0,1,0,102.0,29.0,72.0,4,6,2,0,0,1,2106070.0,1241130.0,1607930.0,1303342.857142857,1402709.6666666667
2023-06-03,1371920,97,10.4,1,0,102.0,28.0,74.0,5,6,3,0,0,0,1611510.0,1945830.0,1856420.0,1356254.2857142857,1429519.0
2023-06-04,1125470,73,10.4,0,0,72.0,23.0,70.0,6,6,4,0,0,0,1371920.0,1035000.0,1539590.0,1274267.142857143,1417725.3333333333
2023-06-05,1109350,76,8.2,0,0,71.0,24.0,62.0,0,6,5,0,0,1,1125470.0,833480.0,1676460.0,1287191.4285714286,1401643.3333333333
2023-06-06,598300,46,12.5,0,0,55.0,0.0,0.0,1,6,6,1,0,1,1109350.0,1031200.0,1540660.0,1326601.4285714286,1376741.0
2023-06-07,936600,72,12.2,0,0,68.0,23.0,74.0,2,6,7,0,0,1,598300.0,930690.0,1571070.0,1264758.5714285714,1345364.6666666667
2023-06-08,1259600,131,13.9,0,0,139.0,0.0,0.0,3,6,8,0,1,1,936600.0,2106070.0,1613600.0,1265602.857142857,1320702.6666666667
2023-06-09,1523720,101,7.7,1,0,115.0,29.0,76.0,4,6,9,0,0,1,1259600.0,1611510.0,2076090.0,1144678.5714285714,1311334.0
2023-06-10,1551080,113,5.8,1,0,128.0,34.0,82.0,5,6,10,0,0,0,1523720.0,1371920.0,2057200.0,1132137.142857143,1309755.6666666667
2023-06-11,1121280,74,10.3,0,0,65.0,18.0,44.0,6,6,11,0,0,0,1551080.0,1125470.0,1192080.0,1157731.4285714286,1307671.6666666667
2023-06-12,864750,62,8.4,0,0,67.0,18.0,52.0,0,6,12,0,0,1,1121280.0,1109350.0,1056100.0,1157132.857142857,1275844.6666666667
2023-06-13,1161700,85,7.4,0,0,69.0,0.0,0.0,1,6,13,1,0,1,864750.0,598300.0,1046840.0,1122190.0,1236096.3333333333
2023-06-14,1116570,81,11.1,0,0,90.0,28.0,94.0,2,6,14,0,0,1,1161700.0,936600.0,1397140.0,1202675.7142857143,1235083.6666666667
2023-06-15,1402340,151,13.9,0,0,155.0,0.0,0.0,3,6,15,0,1,1,1116570.0,1259600.0,1588590.0,1228385.7142857143,1237099.3333333333
2023-06-16,1273960,102,9.8,1,0,104.0,32.0,90.0,4,6,16,0,0,1,1402340.0,1523720.0,1762400.0,1248777.142857143,1248949.3333333333
2023-06-17,2254670,152,11.5,1,0,119.0,29.0,80.0,5,6,17,0,0,0,1273960.0,1551080.0,1572490.0,1213097.142857143,1244843.3333333333
2023-06-18,791690,62,9.6,0,0,55.0,13.0,30.0,6,6,18,0,0,0,2254670.0,1121280.0,1129990.0,1313610.0,1267046.0
2023-06-19,1157190,83,8.4,0,0,78.0,24.0,56.0,0,6,19,0,0,1,791690.0,864750.0,1000500.0,1266525.7142857143,1234689.0
2023-06-20,1242900,86,7.7,0,0,76.0,0.0,0.0,1,6,20,1,0,1,1157190.0,1161700.0,852400.0,1308302.857142857,1220845.6666666667
2023-06-21,823500,67,11.0,0,0,54.0,18.0,52.0,2,6,21,0,0,1,1242900.0,1116570.0,913080.0,1319902.857142857,1224609.3333333333
2023-06-22,2168510,174,10.5,0,0,136.0,0.0,0.0,3,6,22,0,1,1,823500.0,1402340.0,1374300.0,1278035.7142857143,1218709.3333333333
2023-06-23,1918370,127,7.7,1,0,143.0,45.0,118.0,4,6,23,0,0,1,2168510.0,1273960.0,1241130.0,1387488.5714285714,1262579.6666666667
2023-06-24,1605380,116,8.9,1,0,140.0,48.0,138.0,5,6,24,0,0,0,1918370.0,2254670.0,1945830.0,1479547.142857143,1296089.3333333333
2023-06-25,1830890,115,11.2,0,0,96.0,24.0,58.0,6,6,25,0,0,0,1605380.0,791690.0,1035000.0,1386791.4285714286,1303792.0
2023-06-26,1241570,92,13.7,0,0,91.0,27.0,70.0,0,6,26,0,0,1,1830890.0,1157190.0,833480.0,1535248.5714285714,1323450.6666666667
2023-06-27,1558390,121,8.4,0,0,100.0,0.0,0.0,1,6,27,1,0,1,1241570.0,1242900.0,1031200.0,1547302.857142857,1299975.3333333333
2023-06-28,1230800,94,5.3,0,0,105.0,29.0,84.0,2,6,28,0,0,1,1558390.0,823500.0,930690.0,1592372.857142857,1317421.6666666667
2023-06-29,1743430,167,11.4,0,0,135.0,0.0,0.0,3,6,29,0,1,1,1230800.0,2168510.0,2106070.0,1650558.5714285714,1330665.6666666667
2023-06-30,1134000,93,9.7,1,0,115.0,38.0,104.0,4,6,30,0,0,1,1743430.0,1918370.0,1611510.0,1589832.857142857,1354406.6666666667
2023-07-01,1425500,114,12.1,1,0,123.0,30.0,90.0,5,7,1,0,0,0,1134000.0,1605380.0,1371920.0,1477780.0,1361183.6666666667
2023-07-02,1081100,75,6.9,0,0,65.0,21.0,48.0,6,7,2,0,0,0,1425500.0,1830890.0,1125470.0,1452082.857142857,1338498.0
2023-07-03,693830,49,8.1,0,0,67.0,19.0,56.0,0,7,3,0,0,1,1081100.0,1241570.0,1109350.0,1344970.0,1320817.6666666667
2023-07-04,1214000,80,8.8,0,0,84.0,0.0,0.0,1,7,4,1,0,1,693830.0,1558390.0,598300.0,1266721.4285714286,1298214.6666666667
2023-07-05,925200,66,13.9,0,0,85.0,22.0,68.0,2,7,5,0,0,1,1214000.0,1230800.0,936600.0,1217522.857142857,1301165.6666666667
2023-07-06,1288350,118,8.2,0,0,133.0,0.0,0.0,3,7,6,0,1,1,925200.0,1743430.0,1259600.0,1173865.7142857143,1295027.3333333333
2023-07-07,1633250,121,6.3,1,0,130.0,36.0,104.0,4,7,7,0,0,1,1288350.0,1134000.0,1523720.0,1108854.2857142857,1318029.0
2023-07-08,2497360,157,8.5,1,0,142.0,42.0,122.0,5,7,8,0,0,0,1633250.0,1425500.0,1551080.0,1180175.7142857143,1341250.6666666667
2023-07-09,1072700,73,11.1,0,0,96.0,33.0,84.0,6,7,9,0,0,0,2497360.0,1081100.0,1121280.0,1333298.5714285714,1382509.3333333333
2023-07-10,524980,53,10.4,0,0,39.0,11.0,30.0,0,7,10,0,0,1,1072700.0,693830.0,864750.0,1332098.5714285714,1367475.3333333333
2023-07-11,1099550,90,5.7,0,0,76.0,0.0,0.0,1,7,11,1,0,1,524980.0,1214000.0,1161700.0,1307977.142857143,1333272.0
2023-07-12,1560550,98,3.8,0,0,74.0,20.0,48.0,2,7,12,0,0,1,1099550.0,925200.0,1116570.0,1291627.142857143,1332547.6666666667
2023-07-13,1839270,156,-0.3,0,0,160.0,0.0,0.0,3,7,13,0,1,1,1560550.0,1288350.0,1402340.0,1382391.4285714286,1355741.0
2023-07-14,1385600,108,7.1,1,0,134.0,47.0,130.0,4,7,14,0,0,1,1839270.0,1633250.0,1273960.0,1461094.2857142857,1378326.6666666667
2023-07-15,1393790,111,12.3,1,0,119.0,40.0,118.0,5,7,15,0,0,0,1385600.0,2497360.0,2254670.0,1425715.7142857143,1387294.3333333333
2023-07-16,798800,58,5.2,0,0,88.0,24.0,74.0,6,7,16,0,0,0,1393790.0,1072700.0,791690.0,1268062.857142857,1387009.3333333333
2023-07-17,912590,71,6.8,0,0,76.0,18.0,54.0,0,7,17,0,0,1,798800.0,524980.0,1157190.0,1228934.2857142857,1371170.6666666667
2023-07-18,1537300,113,4.1,0,0,99.0,0.0,0.0,1,7,18,1,0,1,912590.0,1099550.0,1242900.0,1284307.142857143,1326434.6666666667
2023-07-19,829300,53,4.6,0,0,56.0,15.0,40.0,2,7,19,0,0,1,1537300.0,1560550.0,823500.0,1346842.857142857,1351288.3333333333
2023-07-20,1464330,144,7.1,0,0,143.0,0.0,0.0,3,7,20,0,1,1,829300.0,1839270.0,2168510.0,1242378.5714285714,1340358.6666666667
2023-07-21,1598430,110,8.6,1,0,109.0,34.0,104.0,4,7,21,0,0,1,1464330.0,1385600.0,1918370.0,1188815.7142857143,1347739.6666666667
2023-07-22,1886280,117,7.9,1,0,116.0,33.0,98.0,5,7,22,0,0,0,1598430.0,1393790.0,1605380.0,1219220.0,1373570.6666666667
2023-07-23,1084280,74,6.6,0,0,66.0,22.0,60.0,6,7,23,0,0,0,1886280.0,798800.0,1830890.0,1289575.7142857143,1364163.0
