reservation_id,date,time,pax,customer_name,status,channel
RES-5051,2023-01-02,21:00,4,Cliente 5051,Show,Web
RES-5052,2023-01-02,21:00,4,Cliente 5052,Show,WhatsApp
RES-5053,2023-01-02,14:00,2,Cliente 5053,Show,Web
RES-5054,2023-01-02,20:00,4,Cliente 5054,Show,Web
RES-5055,2023-01-02,20:00,2,Cliente 5055,Show,Web
RES-5056,2023-01-04,19:00,4,Cliente 5056,Show,Web
RES-5057,2023-01-04,22:00,2,Cliente 5057,Show,WhatsApp
RES-5058,2023-01-04,19:00,2,Cliente 5058,No-Show,Web
RES-5059,2023-01-04,19:00,2,Cliente 5059,Show,Web
RES-5060,2023-01-04,14:00,2,Cliente 5060,Cancelled,Web
RES-5061,2023-01-04,20:00,2,Cliente 5061,No-Show,Web
RES-5062,2023-01-04,22:00,2,Cliente 5062,Show,WhatsApp
RES-5063,2023-01-04,14:00,4,Cliente 5063,No-Show,WhatsApp
RES-5064,2023-01-04,13:00,2,Cliente 5064,Show,WhatsApp
RES-5065,2023-01-04,21:00,2,Cliente 5065,Show,Web
RES-5066,2023-01-04,19:00,4,Cliente 5066,Show,Web
RES-5067,2023-01-04,20:00,2,Cliente 5067,Show,Web
RES-5068,2023-01-04,20:00,2,Cliente 5068,Show,Phone
RES-5069,2023-01-04,20:00,4,Cliente 5069,Show,WhatsApp
RES-5070,2023-01-04,22:00,2,Cliente 5070,Show,Web
RES-5071,2023-01-04,22:00,2,Cliente 5071,Show,Web
RES-5072,2023-01-06,21:00,2,Cliente 5072,Show,WhatsApp
RES-5073,2023-01-06,14:00,2,Cliente 5073,Show,Phone
RES-5074,2023-01-06,22:00,2,Cliente 5074,Show,Web
RES-5075,2023-01-06,21:00,2,Cliente 5075,Show,Web
RES-5076,2023-01-06,20:00,4,Cliente 5076,Show,Web
RES-5077,2023-01-06,14:00,2,Cliente 5077,Show,WhatsApp
RES-5078,2023-01-06,19:00,2,Cliente 5078,Show,WhatsApp
RES-5079,2023-01-06,19:00,2,Cliente 5079,Show,Web
RES-5080,2023-01-06,14:00,2,Cliente 5080,Show,WhatsApp
RES-5081,2023-01-06,20:00,4,Cliente 5081,Show,Web
RES-5082,2023-01-06,14:00,2,Cliente 5082,Cancelled,Web
RES-5083,2023-01-06,20:00,2,Cliente 5083,Show,Web
RES-5084,2023-01-06,22:00,4,Cliente 5084,Show,Web
RES-5085,2023-01-06,22:00,2,Cliente 5085,Show,Web
RES-5086,2023-01-06,20:00,2,Cliente 5086,No-Show,Web
RES-5087,2023-01-06,20:00,2,Cliente 5087,Show,Web
RES-5088,2023-01-06,14:00,2,Cliente 5088,Show,Web
RES-5089,2023-01-06,21:00,4,Cliente 5089,Show,WhatsApp
RES-5090,2023-01-06,20:00,2,Cliente 5090,No-Show,WhatsApp
RES-5091,2023-01-06,14:00,4,Cliente 5091,No-Show,WhatsApp
RES-5092,2023-01-06,20:00,2,Cliente 5092,Show,Web
RES-5093,2023-01-06,19:00,2,Cliente 5093,Show,WhatsApp
RES-5094,2023-01-06,13:00,4,Cliente 5094,Cancelled,Web
RES-5095,2023-01-06,20:00,4,Cliente 5095,Show,Phone
RES-5096,2023-01-06,19:00,4,Cliente 5096,Show,Web
RES-5097,2023-01-06,19:00,2,Cliente 5097,No-Show,Phone
RES-5098,2023-01-06,19:00,2,Cliente 5098,Show,Phone
RES-5099,2023-01-06,20:00,6,Cliente 5099,Show,Phone
RES-5100,2023-01-06,22:00,2,Cliente 5100,No-Show,Web
RES-5101,2023-01-06,22:00,4,Cliente 5101,Show,Phone
RES-5102,2023-01-06,14:00,2,Cliente 5102,Show,WhatsApp
RES-5103,2023-01-06,19:00,2,Cliente 5103,Show,WhatsApp
RES-5104,2023-01-06,20:00,4,Cliente 5104,Show,Web
RES-5105,2023-01-06,22:00,6,Cliente 5105,Show,Phone
RES-5106,2023-01-06,20:00,4,Cliente 5106,Show,WhatsApp
RES-5107,2023-01-06,21:00,2,Cliente 5107,Show,Phone
RES-5108,2023-01-06,22:00,2,Cliente 5108,Show,Web
RES-5109,2023-01-06,22:00,4,Cliente 5109,Show,WhatsApp
RES-5110,2023-01-06,20:00,8,Cliente 5110,Show,Web
RES-5111,2023-01-06,21:00,2,Cliente 5111,Show,Web
RES-5112,2023-01-07,14:00,2,Cliente 5112,Show,Phone
RES-5113,2023-01-07,22:00,4,Cliente 5113,Show,Web
RES-5114,2023-01-07,14:00,2,Cliente 5114,Show,Web
RES-5115,2023-01-07,13:00,2,Cliente 5115,Show,Web
RES-5116,2023-01-07,20:00,4,Cliente 5116,Show,Phone
RES-5117,2023-01-07,14:00,2,Cliente 5117,Show,WhatsApp
RES-5118,2023-01-07,20:00,2,Cliente 5118,Show,Phone
RES-5119,2023-01-07,20:00,4,Cliente 5119,Show,Web
RES-5120,2023-01-07,20:00,2,Cliente 5120,Show,Web
RES-5121,2023-01-07,19:00,2,Cliente 5121,No-Show,Web
RES-5122,2023-01-07,20:00,4,Cliente 5122,Show,Phone
RES-5123,2023-01-07,20:00,2,Cliente 5123,Show,Web
RES-5124,2023-01-07,20:00,2,Cliente 5124,Show,Web
RES-5125,2023-01-07,14:00,2,Cliente 5125,Show,Web
RES-5126,2023-01-07,20:00,4,Cliente 5126,Cancelled,Web
RES-5127,2023-01-07,21:00,2,Cliente 5127,Show,WhatsApp
RES-5128,2023-01-07,13:00,2,Cliente 5128,Show,Web
RES-5129,2023-01-07,13:00,4,Cliente 5129,Show,Phone
RES-5130,2023-01-07,19:00,2,Cliente 5130,Show,WhatsApp
RES-5131,2023-01-07,20:00,2,Cliente 5131,Show,Web
RES-5132,2023-01-07,19:00,8,Cliente 5132,Show,Phone
RES-5133,2023-01-07,20:00,2,Cliente 5133,Show,Web
RES-5134,2023-01-07,20:00,4,Cliente 5134,No-Show,WhatsApp
RES-5135,2023-01-07,20:00,2,Cliente 5135,Show,Web
RES-5136,2023-01-07,20:00,4,Cliente 5136,Show,Web
RES-5137,2023-01-07,21:00,2,Cliente 5137,Show,Web
RES-5138,2023-01-07,20:00,2,Cliente 5138,No-Show,WhatsApp
RES-5139,2023-01-07,21:00,4,Cliente 5139,Show,Web
RES-5140,2023-01-07,20:00,2,Cliente 5140,Show,Web
RES-5141,2023-01-07,20:00,2,Cliente 5141,Show,Phone
RES-5142,2023-01-07,20:00,4,Cliente 5142,Show,Phone
RES-5143,2023-01-07,20:00,2,Cliente 5143,Show,Web
RES-5144,2023-01-07,20:00,2,Cliente 5144,Show,Web
RES-5145,2023-01-07,19:00,2,Cliente 5145,Show,Web
RES-5146,2023-01-07,19:00,2,Cliente 5146,Show,Web
RES-5147,2023-01-07,22:00,4,Cliente 5147,Show,Phone
RES-5148,2023-01-08,21:00,2,Cliente 5148,Show,Web
RES-5149,2023-01-08,21:00,4,Cliente 5149,No-Show,WhatsApp
RES-5150,2023-01-08,19:00,2,Cliente 5150,Show,Phone
RES-5151,2023-01-08,21:00,2,Cliente 5151,Show,Web
RES-5152,2023-01-08,14:00,4,Cliente 5152,No-Show,WhatsApp
RES-5153,2023-01-08,20:00,2,Cliente 5153,Show,Web
RES-5154,2023-01-08,20:00,2,Cliente 5154,Show,WhatsApp
RES-5155,2023-01-08,13:00,8,Cliente 5155,Show,Web
RES-5156,2023-01-08,21:00,2,Cliente 5156,Show,Web
RES-5157,2023-01-08,21:00,2,Cliente 5157,No-Show,WhatsApp
RES-5158,2023-01-08,14:00,2,Cliente 5158,Show,Phone
RES-5159,2023-01-08,20:00,2,Cliente 5159,Show,Web
RES-5160,2023-01-08,20:00,2,Cliente 5160,Show,WhatsApp
RES-5161,2023-01-08,21:00,2,Cliente 5161,Show,WhatsApp
RES-5162,2023-01-08,20:00,2,Cliente 5162,Show,Web
RES-5163,2023-01-08,20:00,2,Cliente 5163,Show,Web
RES-5164,2023-01-08,19:00,2,Cliente 5164,Show,Web
RES-5165,2023-01-08,14:00,4,Cliente 5165,Show,Web
RES-5166,2023-01-08,22:00,2,Cliente 5166,No-Show,Phone
RES-5167,2023-01-08,13:00,4,Cliente 5167,Show,WhatsApp
RES-5168,2023-01-08,22:00,2,Cliente 5168,Show,WhatsApp
RES-5169,2023-01-09,19:00,2,Cliente 5169,Cancelled,WhatsApp
RES-5170,2023-01-09,20:00,2,Cliente 5170,Show,Web
RES-5171,2023-01-09,19:00,4,Cliente 5171,Show,Web
RES-5172,2023-01-09,21:00,4,Cliente 5172,Show,WhatsApp
RES-5173,2023-01-09,20:00,2,Cliente 5173,Show,WhatsApp
RES-5174,2023-01-09,21:00,2,Cliente 5174,No-Show,WhatsApp
RES-5175,2023-01-09,20:00,2,Cliente 5175,Show,Phone
RES-5176,2023-01-09,20:00,2,Cliente 5176,No-Show,Web
RES-5177,2023-01-09,14:00,2,Cliente 5177,Show,Web
RES-5178,2023-01-09,20:00,2,Cliente 5178,Show,Web
RES-5179,2023-01-09,14:00,2,Cliente 5179,Show,Web
RES-5180,2023-01-09,13:00,4,Cliente 5180,Show,Phone
RES-5181,2023-01-09,21:00,2,Cliente 5181,Show,Web
RES-5182,2023-01-09,20:00,2,Cliente 5182,Show,WhatsApp
RES-5183,2023-01-09,22:00,2,Cliente 5183,Show,Phone
RES-5184,2023-01-09,13:00,2,Cliente 5184,Show,Web
RES-5185,2023-01-09,19:00,4,Cliente 5185,Show,Web
RES-5186,2023-01-09,14:00,2,Cliente 5186,Show,Phone
RES-5187,2023-01-09,13:00,2,Cliente 5187,Show,WhatsApp
RES-5188,2023-01-09,19:00,2,Cliente 5188,No-Show,Web
RES-5189,2023-01-09,20:00,2,Cliente 5189,Show,Web
RES-5190,2023-01-09,20:00,2,Cliente 5190,Show,Web
RES-5191,2023-01-09,19:00,6,Cliente 5191,Show,Web
RES-5192,2023-01-09,21:00,2,Cliente 5192,Show,Web
RES-5193,2023-01-09,21:00,2,Cliente 5193,Show,WhatsApp
RES-5194,2023-01-09,22:00,2,Cliente 5194,Show,Web
RES-5195,2023-01-09,20:00,2,Cliente 5195,Show,Phone
RES-5196,2023-01-09,21:00,2,Cliente 5196,Show,Web
RES-5197,2023-01-09,22:00,2,Cliente 5197,Show,Phone
RES-5198,2023-01-09,21:00,2,Cliente 5198,Show,WhatsApp
RES-5199,2023-01-09,20:00,4,Cliente 5199,Show,Web
RES-5200,2023-01-11,20:00,4,Cliente 5200,Show,WhatsApp
RES-5201,2023-01-11,22:00,2,Cliente 5201,Show,Web
RES-5202,2023-01-11,21:00,8,Cliente 5202,No-Show,Web
RES-5203,2023-01-11,20:00,2,Cliente 5203,Show,Web
RES-5204,2023-01-11,19:00,2,Cliente 5204,Show,Web
RES-5205,2023-01-11,21:00,2,Cliente 5205,Show,Web
RES-5206,2023-01-11,20:00,2,Cliente 5206,Show,WhatsApp
RES-5207,2023-01-11,20:00,2,Cliente 5207,Show,Web
RES-5208,2023-01-11,13:00,2,Cliente 5208,Show,Web
RES-5209,2023-01-11,20:00,4,Cliente 5209,Show,Web
RES-5210,2023-01-11,19:00,2,Cliente 5210,Show,Web
RES-5211,2023-01-11,20:00,2,Cliente 5211,Show,WhatsApp
RES-5212,2023-01-11,19:00,2,Cliente 5212,Show,WhatsApp
RES-5213,2023-01-11,14:00,2,Cliente 5213,Show,Web
RES-5214,2023-01-11,21:00,2,Cliente 5214,Show,Web
RES-5215,2023-01-11,22:00,4,Cliente 5215,Show,WhatsApp
RES-5216,2023-01-11,20:00,2,Cliente 5216,Show,Web
RES-5217,2023-01-11,13:00,2,Cliente 5217,Show,WhatsApp
RES-5218,2023-01-11,21:00,6,Cliente 5218,Show,WhatsApp
RES-5219,2023-01-11,19:00,2,Cliente 5219,Show,WhatsApp
RES-5220,2023-01-11,22:00,2,Cliente 5220,Show,WhatsApp
RES-5221,2023-01-11,22:00,2,Cliente 5221,No-Show,Web
RES-5222,2023-01-11,19:00,4,Cliente 5222,Show,Web
RES-5223,2023-01-11,20:00,2,Cliente 5223,Show,WhatsApp
RES-5224,2023-01-11,21:00,2,Cliente 5224,Show,WhatsApp
RES-5225,2023-01-11,20:00,2,Cliente 5225,Show,Phone
RES-5226,2023-01-11,21:00,2,Cliente 5226,No-Show,Web
RES-5227,2023-01-11,21:00,2,Cliente 5227,Show,Web
RES-5228,2023-01-11,20:00,4,Cliente 5228,Show,WhatsApp
RES-5229,2023-01-11,19:00,2,Cliente 5229,Show,WhatsApp
RES-5230,2023-01-11,19:00,2,Cliente 5230,No-Show,Web
RES-5231,2023-01-11,13:00,2,Cliente 5231,Show,Web
RES-5232,2023-01-11,20:00,2,Cliente 5232,Show,WhatsApp
RES-5233,2023-01-11,20:00,2,Cliente 5233,Show,WhatsApp
RES-5234,2023-01-11,13:00,2,Cliente 5234,Show,WhatsApp
RES-5235,2023-01-13,22:00,2,Cliente 5235,Show,Web
RES-5236,2023-01-13,20:00,2,Cliente 5236,Show,Web
RES-5237,2023-01-13,13:00,4,Cliente 5237,Show,WhatsApp
RES-5238,2023-01-13,21:00,8,Cliente 5238,Show,WhatsApp
RES-5239,2023-01-13,21:00,4,Cliente 5239,Show,Phone
RES-5240,2023-01-13,19:00,2,Cliente 5240,Show,Web
RES-5241,2023-01-13,19:00,2,Cliente 5241,No-Show,Web
RES-5242,2023-01-13,14:00,2,Cliente 5242,Show,Phone
RES-5243,2023-01-13,19:00,4,Cliente 5243,Show,WhatsApp
RES-5244,2023-01-13,19:00,2,Cliente 5244,Show,Web
RES-5245,2023-01-13,22:00,4,Cliente 5245,Cancelled,Web
RES-5246,2023-01-13,19:00,2,Cliente 5246,Show,WhatsApp
RES-5247,2023-01-13,20:00,2,Cliente 5247,Show,WhatsApp
RES-5248,2023-01-13,20:00,2,Cliente 5248,Show,WhatsApp
RES-5249,2023-01-13,20:00,2,Cliente 5249,Show,Phone
RES-5250,2023-01-13,19:00,4,Cliente 5250,Show,WhatsApp
RES-5251,2023-01-13,20:00,2,Cliente 5251,Show,Phone
RES-5252,2023-01-13,14:00,2,Cliente 5252,Show,Phone
RES-5253,2023-01-13,22:00,2,Cliente 5253,Show,WhatsApp
RES-5254,2023-01-13,21:00,2,Cliente 5254,Show,Phone
RES-5255,2023-01-13,19:00,2,Cliente 5255,Show,Web
RES-5256,2023-01-13,20:00,2,Cliente 5256,Show,Phone
RES-5257,2023-01-13,20:00,2,Cliente 5257,No-Show,Web
RES-5258,2023-01-13,22:00,2,Cliente 5258,Show,Web
RES-5259,2023-01-13,19:00,2,Cliente 5259,Show,WhatsApp
RES-5260,2023-01-13,21:00,4,Cliente 5260,Show,Web
RES-5261,2023-01-13,21:00,4,Cliente 5261,Show,WhatsApp
RES-5262,2023-01-13,20:00,4,Cliente 5262,Show,WhatsApp
RES-5263,2023-01-13,20:00,6,Cliente 5263,Show,Phone
RES-5264,2023-01-13,20:00,4,Cliente 5264,Show,Web
RES-5265,2023-01-13,21:00,4,Cliente 5265,Show,Web
RES-5266,2023-01-13,20:00,6,Cliente 5266,No-Show,Phone
RES-5267,2023-01-13,14:00,6,Cliente 5267,Show,WhatsApp
RES-5268,2023-01-13,20:00,2,Cliente 5268,Show,WhatsApp
RES-5269,2023-01-13,19:00,2,Cliente 5269,Show,Web
RES-5270,2023-01-14,13:00,2,Cliente 5270,Show,Phone
RES-5271,2023-01-14,19:00,2,Cliente 5271,Cancelled,Web
RES-5272,2023-01-14,20:00,2,Cliente 5272,Show,Web
RES-5273,2023-01-14,19:00,6,Cliente 5273,Show,WhatsApp
RES-5274,2023-01-14,19:00,4,Cliente 5274,Show,Web
RES-5275,2023-01-14,20:00,4,Cliente 5275,Show,Web
RES-5276,2023-01-14,20:00,4,Cliente 5276,Show,WhatsApp
RES-5277,2023-01-14,21:00,2,Cliente 5277,Show,Web
RES-5278,2023-01-14,19:00,2,Cliente 5278,Show,WhatsApp
RES-5279,2023-01-14,21:00,2,Cliente 5279,Show,Web
RES-5280,2023-01-14,13:00,2,Cliente 5280,Show,Web
RES-5281,2023-01-14,21:00,2,Cliente 5281,Show,WhatsApp
RES-5282,2023-01-14,19:00,2,Cliente 5282,Show,Web
RES-5283,2023-01-14,20:00,4,Cliente 5283,Show,WhatsApp
RES-5284,2023-01-14,22:00,2,Cliente 5284,No-Show,WhatsApp
RES-5285,2023-01-14,21:00,2,Cliente 5285,Show,Web
RES-5286,2023-01-14,20:00,2,Cliente 5286,Show,Web
RES-5287,2023-01-14,19:00,2,Cliente 5287,Show,Web
RES-5288,2023-01-14,22:00,2,Cliente 5288,Show,Web
RES-5289,2023-01-14,13:00,2,Cliente 5289,Show,Web
RES-5290,2023-01-14,13:00,2,Cliente 5290,No-Show,Web
RES-5291,2023-01-14,21:00,2,Cliente 5291,Show,Web
RES-5292,2023-01-14,13:00,2,Cliente 5292,No-Show,Web
RES-5293,2023-01-14,21:00,4,Cliente 5293,Show,WhatsApp
RES-5294,2023-01-14,13:00,2,Cliente 5294,Show,Web
RES-5295,2023-01-14,20:00,2,Cliente 5295,Show,WhatsApp
RES-5296,2023-01-14,20:00,2,Cliente 5296,No-Show,Web
RES-5297,2023-01-14,19:00,4,Cliente 5297,Show,WhatsApp
RES-5298,2023-01-14,20:00,2,Cliente 5298,Show,Web
RES-5299,2023-01-14,13:00,4,Cliente 5299,Show,WhatsApp
RES-5300,2023-01-14,20:00,4,Cliente 5300,No-Show,Web
RES-5301,2023-01-14,20:00,2,Cliente 5301,Cancelled,Web
RES-5302,2023-01-14,20:00,2,Cliente 5302,Show,WhatsApp
RES-5303,2023-01-14,20:00,2,Cliente 5303,Show,Web
RES-5304,2023-01-14,14:00,2,Cliente 5304,Show,Web
RES-5305,2023-01-14,20:00,2,Cliente 5305,Show,Phone
RES-5306,2023-01-14,21:00,2,Cliente 5306,Show,Web
RES-5307,2023-01-14,19:00,2,Cliente 5307,Show,Web
RES-5308,2023-01-14,19:00,2,Cliente 5308,Show,Web
RES-5309,2023-01-14,20:00,2,Cliente 5309,Show,Phone
RES-5310,2023-01-15,20:00,2,Cliente 5310,Cancelled,Web
RES-5311,2023-01-15,13:00,2,Cliente 5311,Show,Phone
RES-5312,2023-01-15,20:00,4,Cliente 5312,Show,WhatsApp
RES-5313,2023-01-15,21:00,2,Cliente 5313,Show,Web
RES-5314,2023-01-15,21:00,2,Cliente 5314,Show,Web
RES-5315,2023-01-15,20:00,6,Cliente 5315,Show,Web
RES-5316,2023-01-15,19:00,2,Cliente 5316,No-Show,Phone
RES-5317,2023-01-15,21:00,2,Cliente 5317,Show,WhatsApp
RES-5318,2023-01-15,21:00,4,Cliente 5318,Show,Phone
RES-5319,2023-01-15,20:00,2,Cliente 5319,No-Show,Web
RES-5320,2023-01-15,14:00,2,Cliente 5320,Show,Web
RES-5321,2023-01-15,22:00,4,Cliente 5321,Show,WhatsApp
RES-5322,2023-01-15,13:00,4,Cliente 5322,Show,Web
RES-5323,2023-01-15,14:00,2,Cliente 5323,Show,WhatsApp
RES-5324,2023-01-15,19:00,2,Cliente 5324,Show,Web
RES-5325,2023-01-16,21:00,2,Cliente 5325,Show,Web
RES-5326,2023-01-16,20:00,2,Cliente 5326,Show,Web
RES-5327,2023-01-16,20:00,2,Cliente 5327,Show,WhatsApp
RES-5328,2023-01-16,13:00,2,Cliente 5328,No-Show,Web
RES-5329,2023-01-16,13:00,2,Cliente 5329,No-Show,Web
RES-5330,2023-01-16,14:00,2,Cliente 5330,Show,WhatsApp
RES-5331,2023-01-16,21:00,4,Cliente 5331,Show,Phone
RES-5332,2023-01-16,22:00,2,Cliente 5332,Show,Web
RES-5333,2023-01-16,21:00,2,Cliente 5333,Show,Web
RES-5334,2023-01-16,21:00,4,Cliente 5334,Cancelled,Phone
RES-5335,2023-01-16,13:00,2,Cliente 5335,Show,WhatsApp
RES-5336,2023-01-16,13:00,2,Cliente 5336,Show,WhatsApp
RES-5337,2023-01-16,19:00,4,Cliente 5337,Show,WhatsApp
RES-5338,2023-01-16,14:00,8,Cliente 5338,Show,Web
RES-5339,2023-01-16,19:00,4,Cliente 5339,Show,WhatsApp
RES-5340,2023-01-16,21:00,2,Cliente 5340,Show,Web
RES-5341,2023-01-16,13:00,2,Cliente 5341,Cancelled,WhatsApp
RES-5342,2023-01-16,21:00,4,Cliente 5342,Show,WhatsApp
RES-5343,2023-01-16,14:00,2,Cliente 5343,Show,WhatsApp
RES-5344,2023-01-16,22:00,4,Cliente 5344,Show,WhatsApp
RES-5345,2023-01-18,14:00,4,Cliente 5345,Cancelled,WhatsApp
RES-5346,2023-01-18,19:00,2,Cliente 5346,Show,WhatsApp
RES-5347,2023-01-18,21:00,4,Cliente 5347,Show,Web
RES-5348,2023-01-18,14:00,4,Cliente 5348,Show,Web
RES-5349,2023-01-18,14:00,4,Cliente 5349,Show,Web
RES-5350,2023-01-18,21:00,2,Cliente 5350,Show,Phone
RES-5351,2023-01-18,19:00,2,Cliente 5351,Show,Web
RES-5352,2023-01-18,20:00,2,Cliente 5352,Show,Web
RES-5353,2023-01-18,19:00,2,Cliente 5353,Show,WhatsApp
RES-5354,2023-01-18,21:00,2,Cliente 5354,Show,Phone
RES-5355,2023-01-18,14:00,2,Cliente 5355,Show,Phone
RES-5356,2023-01-18,19:00,2,Cliente 5356,Show,Web
RES-5357,2023-01-18,13:00,4,Cliente 5357,Show,Web
RES-5358,2023-01-18,14:00,2,Cliente 5358,Show,Web
RES-5359,2023-01-18,20:00,2,Cliente 5359,Show,WhatsApp
RES-5360,2023-01-18,20:00,2,Cliente 5360,Show,Phone
RES-5361,2023-01-18,14:00,4,Cliente 5361,Show,Web
RES-5362,2023-01-18,21:00,2,Cliente 5362,No-Show,Web
RES-5363,2023-01-18,19:00,2,Cliente 5363,Show,Web
RES-5364,2023-01-18,22:00,6,Cliente 5364,No-Show,WhatsApp
RES-5365,2023-01-18,21:00,4,Cliente 5365,Show,Web
RES-5366,2023-01-18,21:00,4,Cliente 5366,Show,Web
RES-5367,2023-01-18,14:00,2,Cliente 5367,Show,WhatsApp
RES-5368,2023-01-18,19:00,2,Cliente 5368,Show,Web
RES-5369,2023-01-18,13:00,2,Cliente 5369,Show,Web
RES-5370,2023-01-18,14:00,2,Cliente 5370,Show,Web
RES-5371,2023-01-18,21:00,2,Cliente 5371,Show,Web
RES-5372,2023-01-18,19:00,2,Cliente 5372,Show,Web
RES-5373,2023-01-18,13:00,2,Cliente 5373,Show,WhatsApp
RES-5374,2023-01-18,20:00,4,Cliente 5374,Show,WhatsApp
RES-5375,2023-01-18,20:00,4,Cliente 5375,Show,Web
RES-5376,2023-01-18,20:00,4,Cliente 5376,Show,Web
RES-5377,2023-01-18,21:00,2,Cliente 5377,Show,WhatsApp
RES-5378,2023-01-18,21:00,2,Cliente 5378,Show,WhatsApp
RES-5379,2023-01-18,20:00,2,Cliente 5379,Show,Web
RES-5380,2023-01-20,20:00,2,Cliente 5380,Show,WhatsApp
RES-5381,2023-01-20,14:00,4,Cliente 5381,Show,WhatsApp
RES-5382,2023-01-20,20:00,4,Cliente 5382,Show,Web
RES-5383,2023-01-20,19:00,2,Cliente 5383,Show,WhatsApp
RES-5384,2023-01-20,19:00,2,Cliente 5384,Show,Phone
RES-5385,2023-01-20,21:00,2,Cliente 5385,Show,Web
RES-5386,2023-01-20,20:00,2,Cliente 5386,Show,Web
RES-5387,2023-01-20,14:00,2,Cliente 5387,Show,Web
RES-5388,2023-01-20,20:00,2,Cliente 5388,Show,Phone
RES-5389,2023-01-20,20:00,2,Cliente 5389,Show,WhatsApp
RES-5390,2023-01-20,19:00,4,Cliente 5390,Show,WhatsApp
RES-5391,2023-01-20,20:00,2,Cliente 5391,Show,Phone
RES-5392,2023-01-20,21:00,2,Cliente 5392,Show,Web
RES-5393,2023-01-20,21:00,2,Cliente 5393,Show,Phone
RES-5394,2023-01-20,20:00,4,Cliente 5394,Cancelled,WhatsApp
RES-5395,2023-01-20,20:00,2,Cliente 5395,Show,Web
RES-5396,2023-01-20,13:00,2,Cliente 5396,Show,Web
RES-5397,2023-01-20,20:00,6,Cliente 5397,Show,Web
RES-5398,2023-01-20,21:00,2,Cliente 5398,Show,Phone
RES-5399,2023-01-20,14:00,2,Cliente 5399,Show,Phone
RES-5400,2023-01-20,20:00,2,Cliente 5400,Show,Phone
RES-5401,2023-01-20,20:00,4,Cliente 5401,Show,Web
